id_jogo;nacao;campeonato;ano;dia;home;away;HTHG;HTAG;FTHG;FTAG;home_goal_timings;away_goal_timings;odd_home;odd_draw;odd_away;over25;btts;endereco
2oQ3bxZn;BRAZIL;SERIE B;2014;18.04.2014;Vila Nova FC;Luverdense;0;0;0;0;[];[];2.1;3.3;3.5;2.35;2.0;https://www.flashscore.com/match/2oQ3bxZn/#/
UcekuFYO;BRAZIL;SERIE B;2014;18.04.2014;Sampaio Correa;Parana;0;0;0;2;[];[53, 79];2.5;3.1;2.9;2.1;1.91;https://www.flashscore.com/match/UcekuFYO/#/
YBLaaIJt;BRAZIL;SERIE B;2014;18.04.2014;Joinville;Portuguesa;0;0;3;0;[];[];1.67;3.6;5.5;2.0;1.91;https://www.flashscore.com/match/YBLaaIJt/#/
bavvrHl6;BRAZIL;SERIE B;2014;18.04.2014;Ponte Preta;Icasa;0;1;1;1;[55];[32];1.62;3.6;6.0;1.9;1.83;https://www.flashscore.com/match/bavvrHl6/#/
xjwrsy4C;BRAZIL;SERIE B;2014;19.04.2014;Vasco;America MG;0;0;1;1;[47];[60];1.62;3.8;5.5;1.75;1.8;https://www.flashscore.com/match/xjwrsy4C/#/
WCxnteJI;BRAZIL;SERIE B;2014;19.04.2014;Santa Cruz;ABC;1;0;1;1;[20];[53];1.73;3.5;5.0;2.05;2.0;https://www.flashscore.com/match/WCxnteJI/#/
tOqZrcZa;BRAZIL;SERIE B;2014;19.04.2014;Bragantino;Nautico;1;0;2;2;[45, 67];[71, 90];1.73;3.6;4.75;2.25;2.1;https://www.flashscore.com/match/tOqZrcZa/#/
O0ECdG3a;BRAZIL;SERIE B;2014;19.04.2014;Boa;Atletico GO;1;1;1;1;[18];[26];2.25;3.25;3.2;2.4;2.0;https://www.flashscore.com/match/O0ECdG3a/#/
W2ZX3bBP;BRAZIL;SERIE B;2014;19.04.2014;Ceara;Oeste;1;0;1;0;[34];[];1.62;3.75;5.5;1.85;1.83;https://www.flashscore.com/match/W2ZX3bBP/#/
txP7cdlg;BRAZIL;SERIE B;2014;19.04.2014;America RN;Avai;2;1;3;1;[23, 44, 76];[39];2.1;3.25;3.5;1.95;1.8;https://www.flashscore.com/match/txP7cdlg/#/
KrCZBe3n;BRAZIL;SERIE B;2014;22.04.2014;Avai;Bragantino;1;1;1;2;[24];[38, 84];1.57;4.0;5.5;1.95;1.5;https://www.flashscore.com/match/KrCZBe3n/#/
6u8VCylt;BRAZIL;SERIE B;2014;25.04.2014;Icasa;Sampaio Correa;0;2;0;3;[];[37, 42, 47];1.73;3.6;4.75;2.05;2.0;https://www.flashscore.com/match/6u8VCylt/#/
AHGOgEmI;BRAZIL;SERIE B;2014;25.04.2014;Parana;Joinville;2;2;2;3;[32, 37];[10, 21, 50];2.3;3.3;3.1;2.1;1.83;https://www.flashscore.com/match/AHGOgEmI/#/
WQHKffYB;BRAZIL;SERIE B;2014;26.04.2014;Portuguesa;Santa Cruz;0;0;1;1;[62];[67];1.8;3.4;4.0;2.0;1.83;https://www.flashscore.com/match/WQHKffYB/#/
x4IGezJ5;BRAZIL;SERIE B;2014;26.04.2014;Oeste;America RN;0;0;2;1;[73, 90];[88];2.25;3.3;2.9;1.85;1.73;https://www.flashscore.com/match/x4IGezJ5/#/
jTXLhY2O;BRAZIL;SERIE B;2014;26.04.2014;Nautico;Vila Nova FC;1;0;2;0;[34, 75];[];1.73;3.5;4.2;2.25;2.2;https://www.flashscore.com/match/jTXLhY2O/#/
UJWPihIU;BRAZIL;SERIE B;2014;26.04.2014;Luverdense;Vasco;1;0;2;1;[21, 55];[70];3.75;3.25;1.91;2.05;1.83;https://www.flashscore.com/match/UJWPihIU/#/
271vBFIh;BRAZIL;SERIE B;2014;26.04.2014;Atletico GO;Ponte Preta;1;1;2;2;[18, 77];[35, 83];1.91;3.4;3.6;2.25;2.1;https://www.flashscore.com/match/271vBFIh/#/
AX4n9gm5;BRAZIL;SERIE B;2014;26.04.2014;America MG;Ceara;2;0;3;0;[40, 45, 61];[];1.75;3.6;4.75;1.95;1.83;https://www.flashscore.com/match/AX4n9gm5/#/
tb0rAZXb;BRAZIL;SERIE B;2014;26.04.2014;ABC;Boa;1;0;1;0;[37];[];1.91;3.3;4.2;2.2;2.0;https://www.flashscore.com/match/tb0rAZXb/#/
lO3j8D2B;BRAZIL;SERIE B;2014;29.04.2014;Bragantino;Portuguesa;0;0;2;2;[66, 90];[83, 89];2.3;3.25;3.1;2.25;1.83;https://www.flashscore.com/match/lO3j8D2B/#/
dUCF8sEi;BRAZIL;SERIE B;2014;02.05.2014;Joinville;Icasa;2;0;2;1;[14, 26];[74];1.62;3.75;5.5;1.8;1.5;https://www.flashscore.com/match/dUCF8sEi/#/
xpd35BnU;BRAZIL;SERIE B;2014;02.05.2014;Santa Cruz;Parana;1;1;1;1;[23];[27];2.3;3.2;3.2;2.1;1.5;https://www.flashscore.com/match/xpd35BnU/#/
rNda6iXN;BRAZIL;SERIE B;2014;03.05.2014;Vasco;Atletico GO;1;0;3;0;[3, 70, 87];[];1.57;4.0;5.5;1.9;1.5;https://www.flashscore.com/match/rNda6iXN/#/
Wnge7XHH;BRAZIL;SERIE B;2014;03.05.2014;Ponte Preta;Luverdense;1;2;2;2;[15, 68];[7, 34];1.67;3.5;5.5;2.05;1.5;https://www.flashscore.com/match/Wnge7XHH/#/
IwEB9Nbo;BRAZIL;SERIE B;2014;03.05.2014;Ceara;Nautico;0;1;2;2;[66, 85];[25, 51];1.8;3.6;4.33;1.95;1.5;https://www.flashscore.com/match/IwEB9Nbo/#/
nJ5S5ubA;BRAZIL;SERIE B;2014;03.05.2014;Boa;America MG;1;1;1;3;[31];[22, 55, 86];3.2;3.4;2.2;2.15;1.5;https://www.flashscore.com/match/nJ5S5ubA/#/
4fGN6Lr4;BRAZIL;SERIE B;2014;03.05.2014;America RN;ABC;0;0;0;2;[];[57, 64];2.05;3.4;3.5;1.95;1.5;https://www.flashscore.com/match/4fGN6Lr4/#/
jiCJ71Tc;BRAZIL;SERIE B;2014;03.05.2014;Vila Nova FC;Avai;0;0;0;1;[];[56];2.75;3.3;2.5;2.15;1.5;https://www.flashscore.com/match/jiCJ71Tc/#/
vgrV0Vfo;BRAZIL;SERIE B;2014;03.05.2014;Sampaio Correa;Oeste;0;0;2;2;[79, 84];[67, 90];1.75;3.6;4.75;2.05;1.5;https://www.flashscore.com/match/vgrV0Vfo/#/
04v9IIsG;BRAZIL;SERIE B;2014;06.05.2014;Boa;Portuguesa;1;0;2;1;[45, 90];[84];3.1;3.25;2.3;2.1;1.8;https://www.flashscore.com/match/04v9IIsG/#/
Sjt1KvD3;BRAZIL;SERIE B;2014;09.05.2014;Vila Nova FC;Icasa;0;1;0;1;[];[18];2.3;3.3;3.1;2.05;1.8;https://www.flashscore.com/match/Sjt1KvD3/#/
byIw3wrT;BRAZIL;SERIE B;2014;10.05.2014;Vasco;Oeste;0;0;2;0;[66, 76];[];1.36;4.75;8.0;1.8;2.2;https://www.flashscore.com/match/byIw3wrT/#/
4If6bcjp;BRAZIL;SERIE B;2014;10.05.2014;Santa Cruz;Luverdense;0;0;0;0;[];[];1.85;3.5;4.2;2.05;1.91;https://www.flashscore.com/match/4If6bcjp/#/
KpJZ3JSM;BRAZIL;SERIE B;2014;10.05.2014;Ponte Preta;ABC;1;0;2;1;[38, 90];[78];1.83;3.6;4.2;2.0;1.83;https://www.flashscore.com/match/KpJZ3JSM/#/
AFodLKcc;BRAZIL;SERIE B;2014;10.05.2014;Joinville;Nautico;0;0;1;0;[87];[];1.62;3.75;5.5;1.95;1.91;https://www.flashscore.com/match/AFodLKcc/#/
6su5JbS9;BRAZIL;SERIE B;2014;10.05.2014;America RN;Atletico GO;1;0;3;3;[41, 69, 90];[66, 83, 84];2.0;3.4;3.7;1.95;1.8;https://www.flashscore.com/match/6su5JbS9/#/
WOnhM0ri;BRAZIL;SERIE B;2014;10.05.2014;Ceara;Parana;1;0;2;1;[33, 90];[67];1.91;3.4;4.0;2.0;1.83;https://www.flashscore.com/match/WOnhM0ri/#/
Q94W4aDG;BRAZIL;SERIE B;2014;10.05.2014;Bragantino;America MG;0;1;0;2;[];[45, 90];2.6;3.4;2.6;1.95;1.73;https://www.flashscore.com/match/Q94W4aDG/#/
AD6x1jCr;BRAZIL;SERIE B;2014;13.05.2014;Oeste;Ponte Preta;0;0;1;1;[75];[67];2.8;3.3;2.5;2.05;1.8;https://www.flashscore.com/match/AD6x1jCr/#/
WSfoaUte;BRAZIL;SERIE B;2014;16.05.2014;Parana;Boa;0;0;0;0;[];[];1.67;3.75;5.0;1.9;1.83;https://www.flashscore.com/match/WSfoaUte/#/
hxds0ARl;BRAZIL;SERIE B;2014;17.05.2014;Portuguesa;America RN;0;0;1;2;[50];[89, 90];1.73;3.6;4.75;1.7;1.73;https://www.flashscore.com/match/hxds0ARl/#/
tbxxMil8;BRAZIL;SERIE B;2014;17.05.2014;Icasa;Santa Cruz;0;0;1;1;[60];[50];2.2;3.3;3.3;2.15;1.83;https://www.flashscore.com/match/tbxxMil8/#/
f1ttLB3E;BRAZIL;SERIE B;2014;17.05.2014;Avai;Ceara;0;0;1;1;[47];[79];1.95;3.6;3.6;1.95;1.83;https://www.flashscore.com/match/f1ttLB3E/#/
AZsDDTel;BRAZIL;SERIE B;2014;17.05.2014;America MG;Vila Nova FC;2;0;2;0;[11, 45];[];1.33;5.0;9.0;1.8;2.2;https://www.flashscore.com/match/AZsDDTel/#/
SEvlJkYQ;BRAZIL;SERIE B;2014;17.05.2014;ABC;Sampaio Correa;1;0;1;0;[9];[];1.95;3.4;3.9;2.15;1.91;https://www.flashscore.com/match/SEvlJkYQ/#/
vgbgc8B7;BRAZIL;SERIE B;2014;17.05.2014;Luverdense;Bragantino;1;0;2;0;[29, 58];[];1.85;3.6;4.0;2.05;1.83;https://www.flashscore.com/match/vgbgc8B7/#/
lOupKVIK;BRAZIL;SERIE B;2014;17.05.2014;Atletico GO;Joinville;0;0;0;0;[];[];2.5;3.3;2.75;1.85;1.67;https://www.flashscore.com/match/lOupKVIK/#/
IaoLB7Q0;BRAZIL;SERIE B;2014;20.05.2014;Ponte Preta;Vila Nova FC;1;0;1;0;[25];[];1.5;4.0;7.0;2.1;2.2;https://www.flashscore.com/match/IaoLB7Q0/#/
4dsHCmBf;BRAZIL;SERIE B;2014;20.05.2014;Oeste;Santa Cruz;1;1;1;1;[20];[18];2.4;3.1;3.1;2.4;2.1;https://www.flashscore.com/match/4dsHCmBf/#/
lpHKW82Q;BRAZIL;SERIE B;2014;20.05.2014;Avai;Parana;0;0;2;1;[78, 89];[64];2.25;3.1;3.4;2.35;1.91;https://www.flashscore.com/match/lpHKW82Q/#/
AmNoSSAs;BRAZIL;SERIE B;2014;20.05.2014;Atletico GO;ABC;2;0;2;0;[8, 38];[];2.0;3.4;3.75;2.25;2.0;https://www.flashscore.com/match/AmNoSSAs/#/
r1LgQ6uf;BRAZIL;SERIE B;2014;20.05.2014;America MG;Joinville;1;0;3;1;[15, 62, 84];[52];2.1;3.3;3.5;2.2;1.91;https://www.flashscore.com/match/r1LgQ6uf/#/
0OzQARu7;BRAZIL;SERIE B;2014;20.05.2014;Vasco;Sampaio Correa;0;0;1;1;[90];[64];1.62;3.6;6.0;1.9;1.91;https://www.flashscore.com/match/0OzQARu7/#/
vFZT9oeD;BRAZIL;SERIE B;2014;20.05.2014;Nautico;Portuguesa;0;1;2;1;[57, 87];[6];2.15;3.3;3.4;2.0;1.8;https://www.flashscore.com/match/vFZT9oeD/#/
SUSBYUXD;BRAZIL;SERIE B;2014;20.05.2014;Luverdense;Boa;0;1;4;2;[57, 68, 79, 90];[11, 82];1.62;3.6;6.0;2.05;2.1;https://www.flashscore.com/match/SUSBYUXD/#/
6LRFXlmK;BRAZIL;SERIE B;2014;20.05.2014;Icasa;Bragantino;1;0;3;0;[38, 55, 68];[];1.91;3.5;4.0;2.05;1.83;https://www.flashscore.com/match/6LRFXlmK/#/
4AMkRnQm;BRAZIL;SERIE B;2014;20.05.2014;America RN;Ceara;0;1;0;1;[];[32];2.7;3.4;2.5;1.8;1.67;https://www.flashscore.com/match/4AMkRnQm/#/
ngIAMOvJ;BRAZIL;SERIE B;2014;23.05.2014;Santa Cruz;America MG;0;0;1;1;[53];[68];2.9;3.25;2.4;2.1;1.83;https://www.flashscore.com/match/ngIAMOvJ/#/
0xGbPQf0;BRAZIL;SERIE B;2014;23.05.2014;Bragantino;Oeste;1;0;3;0;[34, 47, 90];[];1.73;3.6;4.75;1.95;1.83;https://www.flashscore.com/match/0xGbPQf0/#/
YkzxwpPa;BRAZIL;SERIE B;2014;23.05.2014;Boa;Avai;0;0;2;0;[52, 87];[];2.6;3.25;2.7;2.25;1.91;https://www.flashscore.com/match/YkzxwpPa/#/
SlecpSWP;BRAZIL;SERIE B;2014;23.05.2014;Ceara;Ponte Preta;1;1;3;2;[15, 49, 63];[42, 71];1.95;3.3;4.0;2.0;1.8;https://www.flashscore.com/match/SlecpSWP/#/
xOtTv6fm;BRAZIL;SERIE B;2014;24.05.2014;Vila Nova FC;America RN;1;0;1;3;[26];[73, 78, 89];2.7;3.2;2.63;2.1;1.83;https://www.flashscore.com/match/xOtTv6fm/#/
lbdgo8HJ;BRAZIL;SERIE B;2014;24.05.2014;Sampaio Correa;Luverdense;1;0;1;0;[30];[];2.1;3.25;3.5;1.9;1.73;https://www.flashscore.com/match/lbdgo8HJ/#/
vTE2OpA6;BRAZIL;SERIE B;2014;24.05.2014;Portuguesa;Atletico GO;0;0;2;0;[50, 82];[];1.7;3.8;4.75;1.95;1.91;https://www.flashscore.com/match/vTE2OpA6/#/
bXsPunus;BRAZIL;SERIE B;2014;24.05.2014;Joinville;Vasco;0;0;0;0;[];[];2.45;3.3;2.8;1.9;1.73;https://www.flashscore.com/match/bXsPunus/#/
YkE6N4PC;BRAZIL;SERIE B;2014;24.05.2014;Parana;Nautico;1;0;2;0;[6, 52];[];1.62;3.75;5.5;2.0;2.0;https://www.flashscore.com/match/YkE6N4PC/#/
KnWXwQ9g;BRAZIL;SERIE B;2014;24.05.2014;ABC;Icasa;1;0;3;0;[33, 65, 86];[];1.91;3.25;4.33;2.08;1.83;https://www.flashscore.com/match/KnWXwQ9g/#/
63YqyOgC;BRAZIL;SERIE B;2014;27.05.2014;Portuguesa;Sampaio Correa;0;2;1;4;[82];[3, 30, 46, 83];1.95;3.3;4.0;2.1;1.91;https://www.flashscore.com/match/63YqyOgC/#/
OvTlzr9I;BRAZIL;SERIE B;2014;27.05.2014;Parana;Ponte Preta;0;0;1;2;[50];[68, 80];2.63;3.2;2.7;2.15;1.83;https://www.flashscore.com/match/OvTlzr9I/#/
Ykd7hPOn;BRAZIL;SERIE B;2014;27.05.2014;Joinville;America RN;0;0;1;0;[90];[];1.44;4.2;7.5;1.65;1.83;https://www.flashscore.com/match/Ykd7hPOn/#/
K6bJkN85;BRAZIL;SERIE B;2014;27.05.2014;Boa;Santa Cruz;0;1;0;2;[];[43, 76];2.38;3.1;3.1;2.4;2.0;https://www.flashscore.com/match/K6bJkN85/#/
tGaFj3ga;BRAZIL;SERIE B;2014;27.05.2014;ABC;Oeste;0;0;0;1;[];[71];1.44;4.2;7.5;1.8;1.83;https://www.flashscore.com/match/tGaFj3ga/#/
2VRhZ1OO;BRAZIL;SERIE B;2014;27.05.2014;Nautico;Avai;0;1;0;1;[];[29];2.1;3.25;3.6;2.35;2.0;https://www.flashscore.com/match/2VRhZ1OO/#/
GYFzbo1P;BRAZIL;SERIE B;2014;27.05.2014;Luverdense;Icasa;0;0;1;0;[82];[];1.53;3.8;6.5;1.85;1.83;https://www.flashscore.com/match/GYFzbo1P/#/
jR62g59t;BRAZIL;SERIE B;2014;27.05.2014;Ceara;Vila Nova FC;2;0;4;0;[29, 43, 64, 78];[];1.29;5.0;11.0;1.85;2.63;https://www.flashscore.com/match/jR62g59t/#/
SCZux4v6;BRAZIL;SERIE B;2014;27.05.2014;Bragantino;Vasco;0;0;1;1;[81];[71];3.5;3.3;2.1;2.0;1.73;https://www.flashscore.com/match/SCZux4v6/#/
CteBiqvg;BRAZIL;SERIE B;2014;27.05.2014;Atletico GO;America MG;2;0;3;0;[11, 36, 68];[];2.8;3.2;2.5;2.2;1.83;https://www.flashscore.com/match/CteBiqvg/#/
2VmOlsOB;BRAZIL;SERIE B;2014;30.05.2014;Oeste;Parana;1;1;2;2;[12, 49];[33, 77];3.0;3.2;2.4;2.1;1.83;https://www.flashscore.com/match/2VmOlsOB/#/
KvxnizpA;BRAZIL;SERIE B;2014;30.05.2014;Avai;ABC;0;0;0;1;[];[65];1.67;3.75;5.0;2.05;2.0;https://www.flashscore.com/match/KvxnizpA/#/
tfQfkEEM;BRAZIL;SERIE B;2014;30.05.2014;America RN;Luverdense;0;0;2;0;[90, 90];[];2.63;3.25;2.63;2.0;1.8;https://www.flashscore.com/match/tfQfkEEM/#/
YNZZgx0i;BRAZIL;SERIE B;2014;30.05.2014;Santa Cruz;Joinville;1;0;2;0;[16, 56];[];2.2;3.1;3.5;2.4;2.0;https://www.flashscore.com/match/YNZZgx0i/#/
8UFeWY7p;BRAZIL;SERIE B;2014;31.05.2014;Vasco;Portuguesa;1;1;1;1;[13];[29];1.44;4.33;6.0;1.85;2.0;https://www.flashscore.com/match/8UFeWY7p/#/
CEYwgdFc;BRAZIL;SERIE B;2014;31.05.2014;Sampaio Correa;Ceara;2;2;2;2;[29, 42];[13, 36];2.15;3.3;3.4;1.9;1.73;https://www.flashscore.com/match/CEYwgdFc/#/
GYiSm1wI;BRAZIL;SERIE B;2014;31.05.2014;Ponte Preta;Boa;1;0;1;0;[34];[];1.53;4.0;6.25;1.95;2.0;https://www.flashscore.com/match/GYiSm1wI/#/
ATUblYTS;BRAZIL;SERIE B;2014;31.05.2014;America MG;Nautico;0;2;1;3;[54];[33, 45, 47];1.44;4.2;7.5;1.95;2.1;https://www.flashscore.com/match/ATUblYTS/#/
23RjjfaG;BRAZIL;SERIE B;2014;31.05.2014;Vila Nova FC;Bragantino;0;1;1;1;[88];[1];3.0;3.25;2.2;2.25;1.91;https://www.flashscore.com/match/23RjjfaG/#/
6yYshGU3;BRAZIL;SERIE B;2014;31.05.2014;Icasa;Atletico GO;0;0;1;0;[68];[];2.2;3.25;3.3;2.0;1.8;https://www.flashscore.com/match/6yYshGU3/#/
bVdL5Zb3;BRAZIL;SERIE B;2014;03.06.2014;Santa Cruz;Ponte Preta;2;0;2;1;[7, 32];[90];2.88;3.2;2.5;2.3;1.91;https://www.flashscore.com/match/bVdL5Zb3/#/
G6iQ4gE9;BRAZIL;SERIE B;2014;03.06.2014;Sampaio Correa;America RN;0;0;3;0;[66, 90, 90];[];1.53;4.2;5.75;1.67;1.8;https://www.flashscore.com/match/G6iQ4gE9/#/
f16VrCij;BRAZIL;SERIE B;2014;03.06.2014;Portuguesa;America MG;1;0;2;1;[41, 90];[50];2.38;3.3;2.9;1.95;1.73;https://www.flashscore.com/match/f16VrCij/#/
