id_jogo;nacao;campeonato;ano;dia;home;away;HTHG;HTAG;FTHG;FTAG;home_goal_timings;away_goal_timings;odd_home;odd_draw;odd_away;over25;btts;endereco
x4dN8E2a;BRAZIL;SERIE B;2022;08.04.2022;Vasco;Vila Nova FC;1;1;1;1;[10];[12];1.85;3.18;4.4;2.58;2.24;https://www.flashscore.com/match/x4dN8E2a/#/
MDgBBGIt;BRAZIL;SERIE B;2022;08.04.2022;Brusque;Guarani;0;0;1;0;[80];[];2.71;3.03;2.76;2.43;2.09;https://www.flashscore.com/match/MDgBBGIt/#/
j70R7YH5;BRAZIL;SERIE B;2022;08.04.2022;Bahia;Cruzeiro;0;0;2;0;[57, 74];[];2.33;2.95;3.38;2.45;2.14;https://www.flashscore.com/match/j70R7YH5/#/
OKbZ5CnI;BRAZIL;SERIE B;2022;09.04.2022;Chapecoense-SC;Ituano;0;0;1;1;[90];[76];2.48;3.08;3.04;2.48;2.2;https://www.flashscore.com/match/OKbZ5CnI/#/
4dPdhgII;BRAZIL;SERIE B;2022;09.04.2022;Ponte Preta;Gremio;0;0;0;0;[];[];4.4;3.32;1.87;2.43;2.25;https://www.flashscore.com/match/4dPdhgII/#/
K47qGdAP;BRAZIL;SERIE B;2022;09.04.2022;Sport Recife;Sampaio Correa;0;0;1;0;[89];[];1.92;3.3;4.2;2.43;2.43;https://www.flashscore.com/match/K47qGdAP/#/
pUaV6hXB;BRAZIL;SERIE B;2022;09.04.2022;Tombense;Operario;0;0;1;1;[57];[87];2.48;2.98;3.16;2.6;2.24;https://www.flashscore.com/match/pUaV6hXB/#/
fu7I9fmg;BRAZIL;SERIE B;2022;10.04.2022;Londrina;Nautico;2;0;2;0;[35, 40];[];2.51;3.18;2.92;2.36;2.0;https://www.flashscore.com/match/fu7I9fmg/#/
YkIHIkWN;BRAZIL;SERIE B;2022;12.04.2022;Vila Nova FC;Novorizontino;0;0;0;0;[];[];2.06;3.22;3.66;2.5;2.19;https://www.flashscore.com/match/YkIHIkWN/#/
KnEDJVGH;BRAZIL;SERIE B;2022;12.04.2022;Cruzeiro;Brusque;0;0;1;0;[83];[];1.55;3.86;5.65;2.11;2.09;https://www.flashscore.com/match/KnEDJVGH/#/
8rXiOg2n;BRAZIL;SERIE B;2022;14.04.2022;Criciuma;Londrina;1;0;1;0;[16];[];2.13;2.93;3.94;2.7;2.39;https://www.flashscore.com/match/8rXiOg2n/#/
