id_jogo;nacao;campeonato;ano;dia;home;away;HTHG;HTAG;FTHG;FTAG;home_goal_timings;away_goal_timings;odd_home;odd_draw;odd_away;over25;btts;endereco
dho42Kw7;BRAZIL;SERIE B;2015;08.05.2015;Atletico GO;Boa;0;0;1;0;[74];[];1.57;3.75;6.0;2.25;2.04;https://www.flashscore.com/match/dho42Kw7/#/
ETea30O0;BRAZIL;SERIE B;2015;08.05.2015;ABC;Oeste;0;0;0;1;[];[89];1.53;3.8;6.5;2.4;2.19;https://www.flashscore.com/match/ETea30O0/#/
Uufm62vr;BRAZIL;SERIE B;2015;08.05.2015;Parana;Ceara;1;0;1;0;[31];[];2.6;3.1;2.8;2.4;1.86;https://www.flashscore.com/match/Uufm62vr/#/
zuxFOAf9;BRAZIL;SERIE B;2015;08.05.2015;Mogi Mirim;Criciuma;0;0;1;2;[88];[59, 67];2.5;3.2;2.88;2.08;1.76;https://www.flashscore.com/match/zuxFOAf9/#/
SEY6QWPd;BRAZIL;SERIE B;2015;09.05.2015;Vitoria;Sampaio Correa;0;1;0;2;[];[40, 57];1.7;3.6;5.0;2.05;1.86;https://www.flashscore.com/match/SEY6QWPd/#/
2ghe4t9f;BRAZIL;SERIE B;2015;09.05.2015;Nautico;Luverdense;1;0;1;0;[16];[];1.7;3.75;4.75;2.08;1.91;https://www.flashscore.com/match/2ghe4t9f/#/
tIxBPju3;BRAZIL;SERIE B;2015;09.05.2015;Macae;Santa Cruz;1;0;2;0;[35, 90];[];2.1;3.3;3.5;2.08;1.79;https://www.flashscore.com/match/tIxBPju3/#/
EVzJNU9F;BRAZIL;SERIE B;2015;09.05.2015;America MG;Bahia;0;1;1;1;[65];[9];2.0;3.4;3.75;2.15;1.88;https://www.flashscore.com/match/EVzJNU9F/#/
8Whi5Mgl;BRAZIL;SERIE B;2015;09.05.2015;Paysandu PA;Botafogo RJ;0;0;0;1;[];[86];3.5;3.3;2.1;1.95;1.7;https://www.flashscore.com/match/8Whi5Mgl/#/
zqp81vgD;BRAZIL;SERIE B;2015;09.05.2015;CRB;Bragantino;1;0;2;0;[15, 82];[];2.4;3.2;3.0;2.08;1.5;https://www.flashscore.com/match/zqp81vgD/#/
M9mVGJh0;BRAZIL;SERIE B;2015;15.05.2015;Santa Cruz;Parana;1;1;4;1;[6, 54, 72, 82];[39];1.83;3.5;4.33;2.3;2.1;https://www.flashscore.com/match/M9mVGJh0/#/
