id_jogo;nacao;campeonato;ano;dia;home;away;HTHG;HTAG;FTHG;FTAG;home_goal_timings;away_goal_timings;odd_home;odd_draw;odd_away;over25;btts;endereco
YklZkzI0;BRAZIL;SERIE B;2018;13.04.2018;Fortaleza;Guarani;0;0;2;1;[64, 90];[75];1.72;3.6;4.75;2.25;2.1;https://www.flashscore.com/match/YklZkzI0/#/
nZoNhxYs;BRAZIL;SERIE B;2018;13.04.2018;Oeste;CRB;1;0;2;0;[31, 58];[];2.1;3.1;3.75;2.6;2.2;https://www.flashscore.com/match/nZoNhxYs/#/
f5xrlEnD;BRAZIL;SERIE B;2018;13.04.2018;Atletico GO;Criciuma;1;1;3;2;[42, 51, 84];[20, 90];2.2;3.0;3.6;2.29;2.0;https://www.flashscore.com/match/f5xrlEnD/#/
KnpVjG2f;BRAZIL;SERIE B;2018;13.04.2018;Figueirense;Juventude;2;0;2;1;[18, 36];[78];1.75;3.39;5.0;2.35;2.25;https://www.flashscore.com/match/KnpVjG2f/#/
GEwvkfX6;BRAZIL;SERIE B;2018;14.04.2018;Vila Nova FC;Avai;0;0;1;0;[82];[];2.1;3.1;3.89;2.7;2.1;https://www.flashscore.com/match/GEwvkfX6/#/
MBUTBHvK;BRAZIL;SERIE B;2018;14.04.2018;Londrina;Boa;0;0;1;0;[56];[];1.85;3.25;4.59;2.29;2.1;https://www.flashscore.com/match/MBUTBHvK/#/
rLVPCcPD;BRAZIL;SERIE B;2018;14.04.2018;CSA;Goias;0;0;2;1;[55, 59];[66];2.62;3.1;2.75;2.35;2.0;https://www.flashscore.com/match/rLVPCcPD/#/
QPpRidml;BRAZIL;SERIE B;2018;14.04.2018;Brasil de Pelotas;Sao Bento;1;1;1;1;[10];[26];2.0;3.1;4.2;2.39;2.0;https://www.flashscore.com/match/QPpRidml/#/
4zKYAyfQ;BRAZIL;SERIE B;2018;14.04.2018;Sampaio Correa;Coritiba;1;0;2;0;[44, 82];[];2.79;3.1;2.62;2.35;2.0;https://www.flashscore.com/match/4zKYAyfQ/#/
8l60A43F;BRAZIL;SERIE B;2018;14.04.2018;Ponte Preta;Paysandu PA;0;1;0;1;[];[4];2.0;3.2;4.0;2.39;2.2;https://www.flashscore.com/match/8l60A43F/#/
2qLO0iWI;BRAZIL;SERIE B;2018;17.04.2018;Boa;Fortaleza;0;0;0;2;[];[52, 80];3.39;3.0;2.29;2.5;2.1;https://www.flashscore.com/match/2qLO0iWI/#/
rubBOfOP;BRAZIL;SERIE B;2018;17.04.2018;Coritiba;Atletico GO;0;0;1;0;[49];[];2.1;3.1;3.79;2.39;2.1;https://www.flashscore.com/match/rubBOfOP/#/
biO74ZWg;BRAZIL;SERIE B;2018;20.04.2018;Juventude;Oeste;1;0;1;1;[45];[77];2.0;3.0;4.33;2.7;2.25;https://www.flashscore.com/match/biO74ZWg/#/
K0P35FHm;BRAZIL;SERIE B;2018;20.04.2018;Sao Bento;CSA;0;1;2;1;[53, 61];[20];2.0;3.1;4.2;2.5;2.1;https://www.flashscore.com/match/K0P35FHm/#/
ENpwKEWt;BRAZIL;SERIE B;2018;20.04.2018;Paysandu PA;Londrina;1;0;1;0;[30];[];2.1;3.1;3.75;2.5;2.2;https://www.flashscore.com/match/ENpwKEWt/#/
QwQa6e2s;BRAZIL;SERIE B;2018;21.04.2018;Guarani;Sampaio Correa;1;0;2;0;[45, 90];[];1.8;3.25;5.0;2.35;2.2;https://www.flashscore.com/match/QwQa6e2s/#/
ltHK1XGC;BRAZIL;SERIE B;2018;21.04.2018;Goias;Figueirense;0;1;0;2;[];[19, 48];2.2;3.1;3.5;2.2;1.9;https://www.flashscore.com/match/ltHK1XGC/#/
4la7Pz9J;BRAZIL;SERIE B;2018;21.04.2018;CRB;Vila Nova FC;0;1;0;1;[];[45];2.29;3.0;3.39;2.5;2.1;https://www.flashscore.com/match/4la7Pz9J/#/
GSIC3gn0;BRAZIL;SERIE B;2018;21.04.2018;Avai;Brasil de Pelotas;1;1;2;2;[31, 84];[45, 90];2.1;3.1;3.75;2.35;2.0;https://www.flashscore.com/match/GSIC3gn0/#/
fJHG2D16;BRAZIL;SERIE B;2018;21.04.2018;Criciuma;Ponte Preta;0;1;0;1;[];[15];2.2;3.0;3.6;2.39;2.1;https://www.flashscore.com/match/fJHG2D16/#/
ILU6DUFO;BRAZIL;SERIE B;2018;24.04.2018;Atletico GO;Guarani;2;0;3;2;[24, 45, 59];[63, 66];2.0;3.2;4.0;2.35;2.1;https://www.flashscore.com/match/ILU6DUFO/#/
MgybFjoC;BRAZIL;SERIE B;2018;24.04.2018;Fortaleza;CRB;1;0;3;1;[7, 49, 56];[52];1.66;3.75;5.0;2.04;1.9;https://www.flashscore.com/match/MgybFjoC/#/
r3xfGWV5;BRAZIL;SERIE B;2018;27.04.2018;Figueirense;Boa;1;0;2;0;[12, 61];[];1.61;3.6;6.0;2.5;2.5;https://www.flashscore.com/match/r3xfGWV5/#/
WOIlxEhP;BRAZIL;SERIE B;2018;27.04.2018;CSA;Oeste;3;1;5;1;[17, 32, 42, 62, 79];[45];2.2;3.1;3.5;2.87;2.5;https://www.flashscore.com/match/WOIlxEhP/#/
6H9GXX0t;BRAZIL;SERIE B;2018;27.04.2018;Coritiba;Criciuma;1;1;2;1;[33, 59];[18];2.0;3.29;3.79;2.35;2.2;https://www.flashscore.com/match/6H9GXX0t/#/
vVV2EA0I;BRAZIL;SERIE B;2018;28.04.2018;Vila Nova FC;Sampaio Correa;1;1;3;1;[37, 77, 80];[45];1.72;3.29;5.5;2.5;2.37;https://www.flashscore.com/match/vVV2EA0I/#/
ltaLWiGn;BRAZIL;SERIE B;2018;28.04.2018;Paysandu PA;Brasil de Pelotas;2;1;2;1;[21, 25];[28];1.95;3.2;4.2;2.39;2.2;https://www.flashscore.com/match/ltaLWiGn/#/
ltwjHCGa;BRAZIL;SERIE B;2018;28.04.2018;Juventude;Avai;1;1;1;3;[7];[35, 59, 73];2.39;3.1;3.0;2.87;2.25;https://www.flashscore.com/match/ltwjHCGa/#/
hEqsJYom;BRAZIL;SERIE B;2018;28.04.2018;Ponte Preta;Londrina;0;0;0;1;[];[78];1.7;3.5;5.25;2.5;2.37;https://www.flashscore.com/match/hEqsJYom/#/
zwZoIh1g;BRAZIL;SERIE B;2018;28.04.2018;Sao Bento;Goias;0;1;1;1;[66];[14];1.95;3.2;4.2;2.5;2.25;https://www.flashscore.com/match/zwZoIh1g/#/
WOftSTUH;BRAZIL;SERIE B;2018;01.05.2018;Criciuma;CSA;0;1;1;3;[52];[32, 59, 83];1.85;3.29;4.5;2.25;2.1;https://www.flashscore.com/match/WOftSTUH/#/
4xglQ7aU;BRAZIL;SERIE B;2018;01.05.2018;Boa;Juventude;0;0;1;2;[78];[77, 81];2.25;3.0;3.6;2.7;2.25;https://www.flashscore.com/match/4xglQ7aU/#/
hl0jpBpn;BRAZIL;SERIE B;2018;01.05.2018;Londrina;Fortaleza;1;1;1;1;[3];[44];2.29;3.0;3.39;2.35;2.0;https://www.flashscore.com/match/hl0jpBpn/#/
zc1XTk05;BRAZIL;SERIE B;2018;01.05.2018;Brasil de Pelotas;Figueirense;1;0;1;0;[37];[];2.2;3.0;3.6;2.6;2.2;https://www.flashscore.com/match/zc1XTk05/#/
nBafqVah;BRAZIL;SERIE B;2018;04.05.2018;Sampaio Correa;Paysandu PA;1;1;1;1;[3];[10];2.29;3.2;3.1;2.7;2.25;https://www.flashscore.com/match/nBafqVah/#/
Ec1noiVu;BRAZIL;SERIE B;2018;04.05.2018;CRB;Atletico GO;3;0;3;1;[10, 12, 40];[90];2.37;3.2;3.0;2.25;1.9;https://www.flashscore.com/match/Ec1noiVu/#/
d62TUVpa;BRAZIL;SERIE B;2018;04.05.2018;Oeste;Coritiba;0;0;1;1;[47];[71];2.0;3.1;4.2;2.7;2.25;https://www.flashscore.com/match/d62TUVpa/#/
QofpRmpO;BRAZIL;SERIE B;2018;05.05.2018;Goias;Vila Nova FC;1;1;1;3;[26];[9, 63, 71];2.79;3.0;2.79;2.7;2.2;https://www.flashscore.com/match/QofpRmpO/#/
ILjxT9FB;BRAZIL;SERIE B;2018;05.05.2018;Avai;Sao Bento;1;1;1;1;[10];[13];2.1;3.1;3.79;2.7;2.25;https://www.flashscore.com/match/ILjxT9FB/#/
SWcPVBVh;BRAZIL;SERIE B;2018;05.05.2018;Guarani;Ponte Preta;1;2;2;3;[12, 73];[23, 26, 56];2.39;3.0;3.25;2.5;2.1;https://www.flashscore.com/match/SWcPVBVh/#/
WdfvqM59;BRAZIL;SERIE B;2018;07.05.2018;Sampaio Correa;CRB;1;1;2;3;[41, 90];[18, 88, 90];2.25;3.2;3.29;2.25;1.9;https://www.flashscore.com/match/WdfvqM59/#/
0E3brkFb;BRAZIL;SERIE B;2018;08.05.2018;Guarani;Criciuma;1;0;1;0;[42];[];2.0;3.39;3.75;2.14;1.9;https://www.flashscore.com/match/0E3brkFb/#/
ELaZq2j3;BRAZIL;SERIE B;2018;08.05.2018;Coritiba;Brasil de Pelotas;0;0;1;0;[56];[];2.2;3.1;3.5;2.39;2.1;https://www.flashscore.com/match/ELaZq2j3/#/
MTi7tTqB;BRAZIL;SERIE B;2018;11.05.2018;Juventude;Paysandu PA;0;1;1;1;[82];[43];2.0;3.29;3.79;2.7;2.37;https://www.flashscore.com/match/MTi7tTqB/#/
MRCmMbbd;BRAZIL;SERIE B;2018;11.05.2018;Atletico GO;Londrina;0;0;0;0;[];[];1.83;3.25;4.75;2.14;1.9;https://www.flashscore.com/match/MRCmMbbd/#/
rwg3s9U4;BRAZIL;SERIE B;2018;12.05.2018;Sao Bento;Oeste;0;0;1;0;[70];[];2.04;3.1;4.0;2.39;2.1;https://www.flashscore.com/match/rwg3s9U4/#/
j3dBumaH;BRAZIL;SERIE B;2018;12.05.2018;Figueirense;Avai;0;0;0;1;[];[63];2.25;3.1;3.39;2.5;2.1;https://www.flashscore.com/match/j3dBumaH/#/
zV0Vpryc;BRAZIL;SERIE B;2018;12.05.2018;CSA;Boa;0;0;1;0;[47];[];1.6;3.39;7.0;2.35;2.25;https://www.flashscore.com/match/zV0Vpryc/#/
SSJvOKTq;BRAZIL;SERIE B;2018;12.05.2018;Fortaleza;Goias;0;0;3;0;[47, 64, 90];[];1.66;3.39;5.75;2.07;2.0;https://www.flashscore.com/match/SSJvOKTq/#/
Ai9qNvqj;BRAZIL;SERIE B;2018;13.05.2018;Vila Nova FC;Ponte Preta;0;0;0;0;[];[];2.2;3.0;3.6;2.7;2.25;https://www.flashscore.com/match/Ai9qNvqj/#/
j7ADcLK2;BRAZIL;SERIE B;2018;15.05.2018;CRB;Avai;0;3;0;4;[];[11, 30, 36, 60];2.39;3.0;3.1;2.14;1.83;https://www.flashscore.com/match/j7ADcLK2/#/
2oYMzbDk;BRAZIL;SERIE B;2018;15.05.2018;Criciuma;Juventude;0;0;0;0;[];[];2.29;3.1;3.29;2.39;2.0;https://www.flashscore.com/match/2oYMzbDk/#/
ABXQZHSe;BRAZIL;SERIE B;2018;18.05.2018;Goias;Guarani;0;0;1;1;[90];[80];2.25;3.25;3.25;2.25;1.9;https://www.flashscore.com/match/ABXQZHSe/#/
OfZIyvbq;BRAZIL;SERIE B;2018;18.05.2018;Figueirense;Fortaleza;1;2;1;3;[8];[11, 18, 72];2.5;3.0;3.0;2.4;2.0;https://www.flashscore.com/match/OfZIyvbq/#/
AmgrrtLF;BRAZIL;SERIE B;2018;19.05.2018;Ponte Preta;Atletico GO;1;0;1;3;[38];[67, 71, 90];1.85;3.3;4.5;2.35;2.2;https://www.flashscore.com/match/AmgrrtLF/#/
bXDLeakF;BRAZIL;SERIE B;2018;19.05.2018;Paysandu PA;Sao Bento;0;1;1;1;[90];[14];2.04;3.1;4.0;2.6;2.25;https://www.flashscore.com/match/bXDLeakF/#/
4Ahns0zM;BRAZIL;SERIE B;2018;19.05.2018;Oeste;Vila Nova FC;1;0;2;0;[33, 66];[];2.45;2.9;3.2;2.87;2.25;https://www.flashscore.com/match/4Ahns0zM/#/
4AEHduz9;BRAZIL;SERIE B;2018;19.05.2018;Londrina;CSA;1;1;1;2;[45];[20, 52];2.04;3.2;3.8;2.4;2.1;https://www.flashscore.com/match/4AEHduz9/#/
l2WUYyr2;BRAZIL;SERIE B;2018;19.05.2018;Boa;Coritiba;1;1;1;1;[8];[12];2.37;3.0;3.25;2.6;2.2;https://www.flashscore.com/match/l2WUYyr2/#/
IDdjtKkS;BRAZIL;SERIE B;2018;19.05.2018;Brasil de Pelotas;Sampaio Correa;0;2;1;2;[62];[17, 45];1.95;3.4;3.8;2.3;2.1;https://www.flashscore.com/match/IDdjtKkS/#/
bogfAb48;BRAZIL;SERIE B;2018;22.05.2018;CSA;Figueirense;1;1;1;4;[13];[5, 53, 56, 90];2.0;3.1;4.2;2.4;2.1;https://www.flashscore.com/match/bogfAb48/#/
