id_jogo;nacao;campeonato;ano;dia;home;away;HTHG;HTAG;FTHG;FTAG;home_goal_timings;away_goal_timings;odd_home;odd_draw;odd_away;over25;btts;endereco
fqV9GgQC;BRAZIL;SERIE B;2012;18.05.2012;Ipatinga;ABC;0;0;1;1;;;1.95;3.6;3.6;2.2;0.5;https://www.flashscore.com/match/fqV9GgQC/#/
KrlXK8Hb;BRAZIL;SERIE B;2012;18.05.2012;CRB;Bragantino;0;1;0;2;;;2.5;3.3;2.75;2.15;0.5;https://www.flashscore.com/match/KrlXK8Hb/#/
8nZDFDuJ;BRAZIL;SERIE B;2012;18.05.2012;Ceara;America MG;0;2;1;2;;;1.73;3.75;4.5;1.9;0.5;https://www.flashscore.com/match/8nZDFDuJ/#/
8QyMNAXu;BRAZIL;SERIE B;2012;19.05.2012;Parana;Guarani;1;1;1;1;;;2.4;3.2;3.0;2.04;0.5;https://www.flashscore.com/match/8QyMNAXu/#/
Q3wgKyRm;BRAZIL;SERIE B;2012;19.05.2012;Joinville;Athletico-PR;0;2;1;4;;;2.6;3.25;2.7;1.9;0.5;https://www.flashscore.com/match/Q3wgKyRm/#/
4fxcJetf;BRAZIL;SERIE B;2012;19.05.2012;Criciuma;Guaratingueta;2;1;4;1;;;1.73;3.6;4.75;1.9;0.5;https://www.flashscore.com/match/4fxcJetf/#/
thkTLl2h;BRAZIL;SERIE B;2012;19.05.2012;Boa;Avai;0;0;2;2;;;2.63;3.2;2.7;2.15;0.5;https://www.flashscore.com/match/thkTLl2h/#/
0MV5HZA6;BRAZIL;SERIE B;2012;19.05.2012;Barueri;Vitoria;0;0;0;1;;;2.38;3.3;2.9;1.95;0.5;https://www.flashscore.com/match/0MV5HZA6/#/
nHzQMUnn;BRAZIL;SERIE B;2012;19.05.2012;America RN;Goias;4;1;5;2;;;2.4;3.4;2.8;2.1;0.5;https://www.flashscore.com/match/nHzQMUnn/#/
MVW1IFe0;BRAZIL;SERIE B;2012;19.05.2012;Sao Caetano;ASA;0;1;0;1;;;1.62;3.75;5.5;1.85;0.5;https://www.flashscore.com/match/MVW1IFe0/#/
GAstJnnB;BRAZIL;SERIE B;2012;22.05.2012;Avai;Sao Caetano;0;0;1;0;;;1.67;3.75;5.0;1.8;0.5;https://www.flashscore.com/match/GAstJnnB/#/
AXtpI61H;BRAZIL;SERIE B;2012;25.05.2012;Guarani;Boa;0;0;0;0;;;1.75;3.6;4.75;1.85;0.5;https://www.flashscore.com/match/AXtpI61H/#/
YoE6Z7Wi;BRAZIL;SERIE B;2012;25.05.2012;ABC;Joinville;0;0;0;0;;;1.75;3.6;4.75;1.9;0.5;https://www.flashscore.com/match/YoE6Z7Wi/#/
lOulHQGN;BRAZIL;SERIE B;2012;26.05.2012;Guaratingueta;Ceara;2;0;2;1;;;3.0;3.4;2.29;2.0;0.5;https://www.flashscore.com/match/lOulHQGN/#/
GA3BYRob;BRAZIL;SERIE B;2012;26.05.2012;Bragantino;Criciuma;1;1;3;4;;;1.67;3.75;5.0;1.73;0.5;https://www.flashscore.com/match/GA3BYRob/#/
6azgGpWT;BRAZIL;SERIE B;2012;26.05.2012;America MG;CRB;1;0;4;0;;;1.3;5.0;10.0;1.73;0.5;https://www.flashscore.com/match/6azgGpWT/#/
f12FXo14;BRAZIL;SERIE B;2012;26.05.2012;ASA;Barueri;0;0;1;1;;;1.83;3.5;4.33;1.95;0.5;https://www.flashscore.com/match/f12FXo14/#/
pjeSUqoN;BRAZIL;SERIE B;2012;29.05.2012;Sao Caetano;Bragantino;2;0;2;0;;;2.1;3.5;3.3;1.85;0.5;https://www.flashscore.com/match/pjeSUqoN/#/
Oz7JW5GA;BRAZIL;SERIE B;2012;29.05.2012;Joinville;Guarani;0;0;2;0;;;1.91;3.6;3.75;1.8;0.5;https://www.flashscore.com/match/Oz7JW5GA/#/
tYhkpPpA;BRAZIL;SERIE B;2012;29.05.2012;CRB;Guaratingueta;1;0;3;1;;;2.25;3.4;3.1;1.85;0.5;https://www.flashscore.com/match/tYhkpPpA/#/
fPp2OsOj;BRAZIL;SERIE B;2012;29.05.2012;Ceara;Goias;1;2;2;2;;;1.8;3.75;4.2;1.95;0.5;https://www.flashscore.com/match/fPp2OsOj/#/
Y7ksnoGc;BRAZIL;SERIE B;2012;29.05.2012;America RN;Avai;0;0;1;0;;;2.2;3.5;3.1;1.8;0.5;https://www.flashscore.com/match/Y7ksnoGc/#/
fHjwmR0i;BRAZIL;SERIE B;2012;29.05.2012;Parana;America MG;0;0;0;1;;;2.63;3.25;2.63;2.0;0.5;https://www.flashscore.com/match/fHjwmR0i/#/
GYobPN8p;BRAZIL;SERIE B;2012;29.05.2012;Ipatinga;ASA;0;0;1;0;;;2.5;3.25;2.8;2.04;0.5;https://www.flashscore.com/match/GYobPN8p/#/
2R5NVPVG;BRAZIL;SERIE B;2012;29.05.2012;Criciuma;Vitoria;1;0;2;1;;;1.95;3.6;3.6;1.75;0.5;https://www.flashscore.com/match/2R5NVPVG/#/
SUloo5V3;BRAZIL;SERIE B;2012;29.05.2012;Boa;Athletico-PR;0;1;2;1;;;3.1;3.5;2.2;2.04;0.5;https://www.flashscore.com/match/SUloo5V3/#/
bgaWT30T;BRAZIL;SERIE B;2012;29.05.2012;Barueri;ABC;0;1;0;3;;;1.85;3.6;4.0;2.0;0.5;https://www.flashscore.com/match/bgaWT30T/#/
YVXTxswp;BRAZIL;SERIE B;2012;01.06.2012;Guaratingueta;America RN;0;0;0;2;;;2.88;3.3;2.4;1.7;0.5;https://www.flashscore.com/match/YVXTxswp/#/
Odrfqq0G;BRAZIL;SERIE B;2012;01.06.2012;Goias;CRB;1;0;1;0;;;1.33;5.0;9.0;1.5;0.5;https://www.flashscore.com/match/Odrfqq0G/#/
SrUJa4pc;BRAZIL;SERIE B;2012;01.06.2012;Athletico-PR;Barueri;1;0;3;0;;;1.53;4.0;6.0;1.73;0.5;https://www.flashscore.com/match/SrUJa4pc/#/
EutxyL7d;BRAZIL;SERIE B;2012;02.06.2012;Vitoria;Ipatinga;2;0;4;0;;;1.57;4.0;5.5;2.0;0.5;https://www.flashscore.com/match/EutxyL7d/#/
WMo2sNUS;BRAZIL;SERIE B;2012;02.06.2012;Guarani;Ceara;1;0;4;1;;;2.4;3.0;3.2;2.04;0.5;https://www.flashscore.com/match/WMo2sNUS/#/
2msbr3FM;BRAZIL;SERIE B;2012;02.06.2012;Avai;Joinville;1;1;1;2;;;1.8;3.5;4.5;2.0;0.5;https://www.flashscore.com/match/2msbr3FM/#/
21MWd2UF;BRAZIL;SERIE B;2012;02.06.2012;ASA;Boa;2;1;3;2;;;1.8;3.5;4.5;2.15;0.5;https://www.flashscore.com/match/21MWd2UF/#/
GfNYy1hj;BRAZIL;SERIE B;2012;02.06.2012;America MG;Criciuma;2;0;3;0;;;1.73;3.75;4.5;1.7;0.5;https://www.flashscore.com/match/GfNYy1hj/#/
