id_jogo;nacao;campeonato;ano;dia;home;away;HTHG;HTAG;FTHG;FTAG;home_goal_timings;away_goal_timings;odd_home;odd_draw;odd_away;over25;btts;endereco
ryGhEDa5;BRAZIL;SERIE A;2014;19.04.2014;Internacional;Vitoria;1;0;1;0;[5];[];1.44;4.2;7.5;1.8;1.91;https://www.flashscore.com/match/ryGhEDa5/#/
6kkObYaI;BRAZIL;SERIE A;2014;19.04.2014;Fluminense;Figueirense;2;0;3;0;[30, 44, 58];[];1.5;3.9;7.0;1.85;1.91;https://www.flashscore.com/match/6kkObYaI/#/
v391CiUH;BRAZIL;SERIE A;2014;19.04.2014;Chapecoense-SC;Coritiba;0;0;0;0;[];[];2.3;3.2;3.2;2.35;2.0;https://www.flashscore.com/match/v391CiUH/#/
ptlSchFO;BRAZIL;SERIE A;2014;20.04.2014;Sao Paulo;Botafogo RJ;2;0;3;0;[12, 21, 55];[];1.73;3.75;4.5;2.1;2.0;https://www.flashscore.com/match/ptlSchFO/#/
4pHlFgpa;BRAZIL;SERIE A;2014;20.04.2014;Bahia;Cruzeiro;0;0;1;2;[80];[62, 89];2.5;3.0;3.0;2.08;1.8;https://www.flashscore.com/match/4pHlFgpa/#/
dKDtHFFn;BRAZIL;SERIE A;2014;20.04.2014;Atletico-MG;Corinthians;0;0;0;0;[];[];2.38;3.1;3.1;2.4;2.0;https://www.flashscore.com/match/dKDtHFFn/#/
EeOyIe0t;BRAZIL;SERIE A;2014;20.04.2014;Athletico-PR;Gremio;1;0;1;0;[15];[];3.1;3.4;2.25;2.25;1.91;https://www.flashscore.com/match/EeOyIe0t/#/
CnxAMyhP;BRAZIL;SERIE A;2014;20.04.2014;Santos;Sport Recife;0;0;1;1;[79];[72];1.4;4.5;8.0;1.73;2.0;https://www.flashscore.com/match/CnxAMyhP/#/
OQaJaEpC;BRAZIL;SERIE A;2014;20.04.2014;Flamengo RJ;Goias;0;0;0;0;[];[];2.25;3.2;3.3;2.05;1.8;https://www.flashscore.com/match/OQaJaEpC/#/
0CAcDXEB;BRAZIL;SERIE A;2014;20.04.2014;Criciuma;Palmeiras;1;0;1;2;[11];[82, 87];3.0;3.2;2.4;2.15;1.83;https://www.flashscore.com/match/0CAcDXEB/#/
4bdNThah;BRAZIL;SERIE A;2014;26.04.2014;Coritiba;Santos;0;0;0;0;[];[];2.4;3.2;3.0;2.3;1.83;https://www.flashscore.com/match/4bdNThah/#/
zPiJUYqn;BRAZIL;SERIE A;2014;26.04.2014;Palmeiras;Fluminense;0;1;0;1;[];[45];2.4;3.2;3.0;2.15;1.83;https://www.flashscore.com/match/zPiJUYqn/#/
QDpWRWT4;BRAZIL;SERIE A;2014;27.04.2014;Vitoria;Athletico-PR;2;0;2;2;[11, 37];[78, 82];2.1;3.3;3.5;2.0;1.73;https://www.flashscore.com/match/QDpWRWT4/#/
rkeRSCEb;BRAZIL;SERIE A;2014;27.04.2014;Cruzeiro;Sao Paulo;0;0;1;1;[50];[90];2.1;3.3;3.5;2.05;1.8;https://www.flashscore.com/match/rkeRSCEb/#/
