id_jogo;nacao;campeonato;ano;dia;home;away;HTHG;HTAG;FTHG;FTAG;home_goal_timings;away_goal_timings;odd_home;odd_draw;odd_away;over25;btts;endereco
v58B5cpP;BRAZIL;SERIE A;2016;14.05.2016;Palmeiras;Athletico-PR;1;0;4;0;"19;46;52;87";;1.75;3.3;5.25;2.1;1.95;https://www.flashscore.com/match/v58B5cpP/#/
dtqRcoRI;BRAZIL;SERIE A;2016;14.05.2016;Flamengo RJ;Sport Recife;1;0;1;0;5;;1.53;4;6;2.05;2.1;https://www.flashscore.com/match/dtqRcoRI/#/
GQaw1Hht;BRAZIL;SERIE A;2016;14.05.2016;Atletico-MG;Santos;1;0;1;0;15;;2.8;3.2;2.5;2.08;1.8;https://www.flashscore.com/match/GQaw1Hht/#/
lvboaeNh;BRAZIL;SERIE A;2016;14.05.2016;Coritiba;Cruzeiro;0;0;1;0;71;;2.7;3.2;2.63;2.4;2.05;https://www.flashscore.com/match/lvboaeNh/#/
vTjbdg7B;BRAZIL;SERIE A;2016;15.05.2016;Santa Cruz;Vitoria;2;0;4;1;"28;44;85;87";80;1.85;3.5;4.2;2.1;1.95;https://www.flashscore.com/match/vTjbdg7B/#/
lGqNbRBC;BRAZIL;SERIE A;2016;15.05.2016;Botafogo RJ;Sao Paulo;0;1;0;1;;21;1.91;3.4;4;2.3;2.05;https://www.flashscore.com/match/lGqNbRBC/#/
6FhjbFxa;BRAZIL;SERIE A;2016;15.05.2016;Figueirense;Ponte Preta;0;0;0;0;;;2.3;3.1;3.2;2.4;2.05;https://www.flashscore.com/match/6FhjbFxa/#/
zXsVd5tP;BRAZIL;SERIE A;2016;15.05.2016;Corinthians;Gremio;0;0;0;0;;;1.75;3.5;4.75;2.4;2.2;https://www.flashscore.com/match/zXsVd5tP/#/
p6ifcZi5;BRAZIL;SERIE A;2016;15.05.2016;America MG;Fluminense;0;1;0;1;;39;2.5;3.25;2.8;2.1;1.91;https://www.flashscore.com/match/p6ifcZi5/#/
Amas0y8n;BRAZIL;SERIE A;2016;15.05.2016;Internacional;Chapecoense-SC;0;0;0;0;;;1.67;3.5;5.5;2.4;2.38;https://www.flashscore.com/match/Amas0y8n/#/
IXUzACyB;BRAZIL;SERIE A;2016;21.05.2016;Ponte Preta;Palmeiras;2;0;2;1;"23;32";90;2.7;3.1;2.7;2.35;1.95;https://www.flashscore.com/match/IXUzACyB/#/
Kxa6fXyO;BRAZIL;SERIE A;2016;21.05.2016;Fluminense;Santa Cruz;0;0;2;2;"57;59";"52;82";1.62;3.6;6;2.1;2;https://www.flashscore.com/match/Kxa6fXyO/#/
lhwKDfxn;BRAZIL;SERIE A;2016;21.05.2016;Cruzeiro;Figueirense;0;1;2;2;"55;62";"40;54";1.44;4.2;7.5;2.25;2.5;https://www.flashscore.com/match/lhwKDfxn/#/
A1vGEzNu;BRAZIL;SERIE A;2016;22.05.2016;Santos;Coritiba;0;1;2;1;"61;90";19;1.55;3.6;7;2.15;2.1;https://www.flashscore.com/match/A1vGEzNu/#/
pKWSBY6b;BRAZIL;SERIE A;2016;22.05.2016;Athletico-PR;Atletico-MG;1;0;1;1;9;76;2.2;3.1;3.5;2.15;1.91;https://www.flashscore.com/match/pKWSBY6b/#/
xE91eDMH;BRAZIL;SERIE A;2016;22.05.2016;Vitoria;Corinthians;1;2;3;2;"29;56;64";"25;38";2.8;3.25;2.5;2.35;1.95;https://www.flashscore.com/match/xE91eDMH/#/
bTcAgiiU;BRAZIL;SERIE A;2016;22.05.2016;Sao Paulo;Internacional;0;1;1;2;86;"36;88";2;3.2;4;2.35;2.05;https://www.flashscore.com/match/bTcAgiiU/#/
