id_jogo;nacao;campeonato;ano;dia;home;away;HTHG;HTAG;FTHG;FTAG;home_goal_timings;away_goal_timings;odd_home;odd_draw;odd_away;over25;btts;endereco
nT460ewf;BRAZIL;SERIE A;2013;25.05.2013;Vitoria;Internacional;2;1;2;2;[2, 12];[30, 64];2.7;3.2;2.63;2.25;1.83;https://www.flashscore.com/match/nT460ewf/#/
vNFW6c0Q;BRAZIL;SERIE A;2013;25.05.2013;Vasco;Portuguesa;0;0;1;0;[47];[];2.0;3.4;3.75;2.0;1.8;https://www.flashscore.com/match/vNFW6c0Q/#/
zg121yOm;BRAZIL;SERIE A;2013;25.05.2013;Corinthians;Botafogo RJ;0;1;1;1;[74];[25];1.91;3.4;4.09;2.0;1.8;https://www.flashscore.com/match/zg121yOm/#/
WGvAKGUP;BRAZIL;SERIE A;2013;26.05.2013;Santos;Flamengo RJ;0;0;0;0;[];[];2.54;3.3;2.7;1.95;1.73;https://www.flashscore.com/match/WGvAKGUP/#/
8rgFbZ76;BRAZIL;SERIE A;2013;26.05.2013;Ponte Preta;Sao Paulo;0;2;0;2;[];[9, 44];3.0;3.2;2.38;2.08;1.8;https://www.flashscore.com/match/8rgFbZ76/#/
UifBaFh0;BRAZIL;SERIE A;2013;26.05.2013;Gremio;Nautico;1;0;2;0;[16, 70];[];1.4;4.33;8.0;1.95;2.2;https://www.flashscore.com/match/UifBaFh0/#/
xIcJcgNC;BRAZIL;SERIE A;2013;26.05.2013;Criciuma;Bahia;1;0;3;1;[45, 46, 82];[71];1.73;3.75;4.5;2.04;1.91;https://www.flashscore.com/match/xIcJcgNC/#/
tW1b2H8s;BRAZIL;SERIE A;2013;26.05.2013;Fluminense;Athletico-PR;1;1;2;1;[15, 53];[28];2.25;3.25;3.2;2.08;1.83;https://www.flashscore.com/match/tW1b2H8s/#/
G8dNdDxJ;BRAZIL;SERIE A;2013;26.05.2013;Cruzeiro;Goias;4;0;5;0;[5, 30, 40, 42, 79];[];1.55;4.0;6.0;1.8;1.8;https://www.flashscore.com/match/G8dNdDxJ/#/
IDz6LdFJ;BRAZIL;SERIE A;2013;26.05.2013;Coritiba;Atletico-MG;0;0;2;1;[53, 90];[49];1.95;3.6;3.6;2.04;1.83;https://www.flashscore.com/match/IDz6LdFJ/#/
jetuYZbP;BRAZIL;SERIE A;2013;29.05.2013;Athletico-PR;Cruzeiro;2;1;2;2;[6, 28];[42, 46];2.8;3.3;2.45;2.08;1.83;https://www.flashscore.com/match/jetuYZbP/#/
f9dxEE7g;BRAZIL;SERIE A;2013;29.05.2013;Sao Paulo;Vasco;0;0;5;1;[60, 69, 73, 75, 83];[82];1.57;4.0;5.75;2.04;1.91;https://www.flashscore.com/match/f9dxEE7g/#/
ldRyGzws;BRAZIL;SERIE A;2013;29.05.2013;Botafogo RJ;Santos;2;0;2;1;[15, 22];[72];1.62;3.8;5.5;1.95;1.83;https://www.flashscore.com/match/ldRyGzws/#/
OllgAW6I;BRAZIL;SERIE A;2013;29.05.2013;Nautico;Vitoria;0;2;0;3;[];[12, 45, 49];2.29;3.3;3.1;1.95;1.73;https://www.flashscore.com/match/OllgAW6I/#/
SnQuFfhm;BRAZIL;SERIE A;2013;29.05.2013;Flamengo RJ;Ponte Preta;0;1;0;2;[];[25, 73];1.65;3.5;5.75;2.04;1.91;https://www.flashscore.com/match/SnQuFfhm/#/
YaetDYMa;BRAZIL;SERIE A;2013;29.05.2013;Bahia;Coritiba;0;0;0;0;[];[];2.75;3.3;2.5;2.04;1.8;https://www.flashscore.com/match/YaetDYMa/#/
tQblBCiC;BRAZIL;SERIE A;2013;29.05.2013;Goias;Corinthians;1;0;1;1;[38];[87];3.0;3.2;2.38;2.08;1.8;https://www.flashscore.com/match/tQblBCiC/#/
SMfpChx6;BRAZIL;SERIE A;2013;30.05.2013;Internacional;Criciuma;2;0;2;0;[14, 16];[];1.5;4.2;6.5;1.73;1.8;https://www.flashscore.com/match/SMfpChx6/#/
SMtktXjn;BRAZIL;SERIE A;2013;01.06.2013;Santos;Gremio;0;1;1;1;[78];[10];2.7;3.3;2.54;2.04;1.8;https://www.flashscore.com/match/SMtktXjn/#/
zTHBSDMn;BRAZIL;SERIE A;2013;01.06.2013;Botafogo RJ;Cruzeiro;1;1;2;1;[6, 56];[26];2.1;3.3;3.5;1.8;1.67;https://www.flashscore.com/match/zTHBSDMn/#/
lWsosDyt;BRAZIL;SERIE A;2013;01.06.2013;Athletico-PR;Flamengo RJ;1;0;2;2;[32, 71];[77, 80];2.4;3.3;2.88;2.1;1.83;https://www.flashscore.com/match/lWsosDyt/#/
KGJNPB65;BRAZIL;SERIE A;2013;01.06.2013;Vitoria;Vasco;1;0;2;0;[30, 58];[];1.73;3.5;5.0;1.95;1.8;https://www.flashscore.com/match/KGJNPB65/#/
GrDWNkyI;BRAZIL;SERIE A;2013;01.06.2013;Goias;Coritiba;0;1;1;1;[75];[32];2.25;3.4;3.1;1.85;1.67;https://www.flashscore.com/match/GrDWNkyI/#/
tQKJQiia;BRAZIL;SERIE A;2013;01.06.2013;Corinthians;Ponte Preta;0;0;1;0;[73];[];1.55;4.0;6.0;2.04;2.1;https://www.flashscore.com/match/tQKJQiia/#/
A5CzN9jO;BRAZIL;SERIE A;2013;02.06.2013;Nautico;Portuguesa;1;1;2;2;[17, 90];[31, 82];2.29;3.1;3.3;2.1;1.8;https://www.flashscore.com/match/A5CzN9jO/#/
xhESOVLB;BRAZIL;SERIE A;2013;02.06.2013;Internacional;Bahia;0;1;1;2;[64];[9, 61];1.44;4.09;8.0;2.04;2.25;https://www.flashscore.com/match/xhESOVLB/#/
n3LFRXyg;BRAZIL;SERIE A;2013;02.06.2013;Fluminense;Criciuma;2;0;3;0;[24, 33, 80];[];1.67;3.75;5.0;1.85;1.8;https://www.flashscore.com/match/n3LFRXyg/#/
O8GvMT5U;BRAZIL;SERIE A;2013;02.06.2013;Atletico-MG;Sao Paulo;0;0;0;0;[];[];2.0;3.4;3.75;2.04;1.83;https://www.flashscore.com/match/O8GvMT5U/#/
d2U1wVz5;BRAZIL;SERIE A;2013;05.06.2013;Sao Paulo;Goias;0;1;0;1;[];[2];1.4;4.5;8.0;1.7;1.83;https://www.flashscore.com/match/d2U1wVz5/#/
l8eXuOd3;BRAZIL;SERIE A;2013;05.06.2013;Portuguesa;Internacional;0;1;1;1;[55];[25];2.9;3.1;2.5;2.4;2.0;https://www.flashscore.com/match/l8eXuOd3/#/
bTkrJ0kj;BRAZIL;SERIE A;2013;05.06.2013;Criciuma;Santos;1;0;3;1;[15, 57, 66];[90];2.38;3.25;3.0;2.04;1.67;https://www.flashscore.com/match/bTkrJ0kj/#/
zmtgui6h;BRAZIL;SERIE A;2013;05.06.2013;Vasco;Atletico-MG;0;0;2;0;[69, 90];[];3.5;3.3;2.1;2.04;1.83;https://www.flashscore.com/match/zmtgui6h/#/
thewKtzp;BRAZIL;SERIE A;2013;05.06.2013;Ponte Preta;Athletico-PR;1;1;3;4;[23, 46, 85];[35, 56, 63, 90];2.5;3.2;2.88;2.15;1.83;https://www.flashscore.com/match/thewKtzp/#/
4SX9y95H;BRAZIL;SERIE A;2013;05.06.2013;Gremio;Vitoria;0;0;1;0;[69];[];1.4;4.5;8.0;1.75;1.91;https://www.flashscore.com/match/4SX9y95H/#/
EwucvBLb;BRAZIL;SERIE A;2013;05.06.2013;Flamengo RJ;Nautico;0;0;0;1;[];[82];1.44;4.2;7.5;1.85;2.0;https://www.flashscore.com/match/EwucvBLb/#/
xKlnIK4d;BRAZIL;SERIE A;2013;05.06.2013;Cruzeiro;Corinthians;0;0;1;0;[84];[];2.25;3.3;3.2;2.15;1.83;https://www.flashscore.com/match/xKlnIK4d/#/
A5Y5xkjB;BRAZIL;SERIE A;2013;05.06.2013;Bahia;Botafogo RJ;1;1;2;1;[40, 68];[7];3.75;3.25;2.04;2.04;1.8;https://www.flashscore.com/match/A5Y5xkjB/#/
jNxUt4sc;BRAZIL;SERIE A;2013;06.06.2013;Coritiba;Fluminense;1;1;2;1;[16, 87];[22];2.25;3.3;3.2;2.0;1.8;https://www.flashscore.com/match/jNxUt4sc/#/
AoSSUcl2;BRAZIL;SERIE A;2013;08.06.2013;Cruzeiro;Internacional;1;1;2;2;[37, 63];[23, 73];2.0;3.4;3.75;2.25;1.8;https://www.flashscore.com/match/AoSSUcl2/#/
WfTOVwZe;BRAZIL;SERIE A;2013;08.06.2013;Criciuma;Flamengo RJ;0;1;0;3;[];[37, 52, 79];2.4;3.3;2.88;2.0;1.73;https://www.flashscore.com/match/WfTOVwZe/#/
WWpxurC9;BRAZIL;SERIE A;2013;08.06.2013;Vasco;Bahia;1;1;1;1;[22];[7];1.91;3.4;4.09;2.1;1.91;https://www.flashscore.com/match/WWpxurC9/#/
vclpwMtM;BRAZIL;SERIE A;2013;08.06.2013;Corinthians;Portuguesa;0;0;0;0;[];[];1.65;3.6;5.5;2.08;2.0;https://www.flashscore.com/match/vclpwMtM/#/
xYTKWJJk;BRAZIL;SERIE A;2013;08.06.2013;Ponte Preta;Botafogo RJ;0;2;0;2;[];[31, 36];2.63;3.3;2.63;1.85;1.67;https://www.flashscore.com/match/xYTKWJJk/#/
