id_jogo;nacao;campeonato;ano;dia;home;away;HTHG;HTAG;FTHG;FTAG;home_goal_timings;away_goal_timings;odd_home;odd_draw;odd_away;over25;btts;endereco
z7WkLqQb;BRAZIL;SERIE A;2019;27.04.2019;Sao Paulo;Botafogo RJ;1;0;2;0;[41, 83];[];1.72;3.5;4.75;2.3;2.1;https://www.flashscore.com/match/z7WkLqQb/#/
QeP2IsAH;BRAZIL;SERIE A;2019;27.04.2019;Chapecoense-SC;Internacional;1;0;2;0;[45, 88];[];2.87;3.2;2.5;2.87;2.25;https://www.flashscore.com/match/QeP2IsAH/#/
xEHpOott;BRAZIL;SERIE A;2019;27.04.2019;Atletico-MG;Avai;1;0;2;1;[45, 53];[46];1.5;4.0;7.0;2.1;2.1;https://www.flashscore.com/match/xEHpOott/#/
UTVgK3u5;BRAZIL;SERIE A;2019;27.04.2019;Flamengo RJ;Cruzeiro;1;1;3;1;[41, 67, 90];[40];2.15;3.4;3.25;2.5;2.1;https://www.flashscore.com/match/UTVgK3u5/#/
0htu32AU;BRAZIL;SERIE A;2019;28.04.2019;Gremio;Santos;0;2;1;2;[90];[6, 35];1.66;3.6;5.25;2.5;2.37;https://www.flashscore.com/match/0htu32AU/#/
G4GlN5en;BRAZIL;SERIE A;2019;28.04.2019;Ceara;CSA;2;0;4;0;[20, 34, 81, 89];[];1.75;3.5;4.5;2.35;2.05;https://www.flashscore.com/match/G4GlN5en/#/
4nO6H1PN;BRAZIL;SERIE A;2019;28.04.2019;Bahia;Corinthians;1;1;3;2;[45, 76, 84];[45, 90];2.15;3.3;3.4;2.7;2.2;https://www.flashscore.com/match/4nO6H1PN/#/
YLSAGLvU;BRAZIL;SERIE A;2019;28.04.2019;Athletico-PR;Vasco;2;0;4;1;[3, 45, 66, 86];[89];1.44;4.33;7.5;2.1;2.25;https://www.flashscore.com/match/YLSAGLvU/#/
dGXoMPAh;BRAZIL;SERIE A;2019;28.04.2019;Palmeiras;Fortaleza;1;0;4;0;[17, 59, 71, 90];[];1.36;4.5;9.0;1.95;2.2;https://www.flashscore.com/match/dGXoMPAh/#/
rXZcJNfB;BRAZIL;SERIE A;2019;28.04.2019;Fluminense;Goias;0;0;0;1;[];[89];1.72;3.5;5.0;2.15;2.05;https://www.flashscore.com/match/rXZcJNfB/#/
zVExCumo;BRAZIL;SERIE A;2019;01.05.2019;Internacional;Flamengo RJ;1;0;2;1;[5, 77];[60];2.3;3.2;3.2;2.3;1.95;https://www.flashscore.com/match/zVExCumo/#/
6D5ICCwd;BRAZIL;SERIE A;2019;01.05.2019;CSA;Palmeiras;0;1;1;1;[63];[9];7.5;4.0;1.5;2.35;2.5;https://www.flashscore.com/match/6D5ICCwd/#/
rXeTY2fb;BRAZIL;SERIE A;2019;01.05.2019;Corinthians;Chapecoense-SC;0;0;1;0;[55];[];1.61;3.5;7.0;2.7;2.62;https://www.flashscore.com/match/rXeTY2fb/#/
xzgLzPPo;BRAZIL;SERIE A;2019;01.05.2019;Cruzeiro;Ceara;0;0;1;0;[50];[];1.44;4.2;7.5;2.1;2.25;https://www.flashscore.com/match/xzgLzPPo/#/
AoC9EY8q;BRAZIL;SERIE A;2019;01.05.2019;Avai;Gremio;0;1;1;1;[85];[45];3.6;3.3;2.05;2.5;2.2;https://www.flashscore.com/match/AoC9EY8q/#/
vakxXtPA;BRAZIL;SERIE A;2019;01.05.2019;Vasco;Atletico-MG;0;0;1;2;[66];[59, 90];3.4;3.0;2.3;2.07;1.8;https://www.flashscore.com/match/vakxXtPA/#/
OlGDDhOk;BRAZIL;SERIE A;2019;01.05.2019;Goias;Sao Paulo;1;2;1;2;[45];[32, 36];3.1;3.0;2.5;2.7;2.2;https://www.flashscore.com/match/OlGDDhOk/#/
lAdPZruh;BRAZIL;SERIE A;2019;01.05.2019;Fortaleza;Athletico-PR;1;1;2;1;[2, 76];[22];3.6;3.0;2.2;2.3;1.95;https://www.flashscore.com/match/lAdPZruh/#/
MNfXXM94;BRAZIL;SERIE A;2019;02.05.2019;Santos;Fluminense;0;0;2;1;[65, 73];[85];1.6;3.6;6.0;2.07;2.0;https://www.flashscore.com/match/MNfXXM94/#/
IkltW0vH;BRAZIL;SERIE A;2019;02.05.2019;Botafogo RJ;Bahia;3;1;3;2;[30, 36, 45];[6, 83];2.25;3.1;3.4;2.7;2.2;https://www.flashscore.com/match/IkltW0vH/#/
Yw0GXDFL;BRAZIL;SERIE A;2019;04.05.2019;Vasco;Corinthians;1;1;1;1;[40];[18];3.1;3.2;2.3;2.5;2.1;https://www.flashscore.com/match/Yw0GXDFL/#/
lMpY84C8;BRAZIL;SERIE A;2019;04.05.2019;Palmeiras;Internacional;1;0;1;0;[15];[];1.53;4.0;6.0;2.25;2.2;https://www.flashscore.com/match/lMpY84C8/#/
xC67ZZp9;BRAZIL;SERIE A;2019;04.05.2019;Ceara;Atletico-MG;1;1;1;2;[24];[26, 90];2.3;3.25;3.1;2.3;1.95;https://www.flashscore.com/match/xC67ZZp9/#/
