id_jogo;nacao;campeonato;ano;dia;home;away;HTHG;HTAG;FTHG;FTAG;home_goal_timings;away_goal_timings;odd_home;odd_draw;odd_away;over25;btts;endereco
Q1xmSIxf;BRAZIL;SERIE A;2012;19.05.2012;Sport Recife;Flamengo RJ;0;0;1;1;[];[];2.63;3.4;2.6;1.95;0.5;https://www.flashscore.com/match/Q1xmSIxf/#/
IeFLBchD;BRAZIL;SERIE A;2012;19.05.2012;Palmeiras;Portuguesa;1;0;1;1;[];[];1.7;3.75;4.75;1.85;0.5;https://www.flashscore.com/match/IeFLBchD/#/
nBwqTbNm;BRAZIL;SERIE A;2012;19.05.2012;Figueirense;Nautico;0;0;2;1;[];[];1.55;3.75;6.5;2.08;0.5;https://www.flashscore.com/match/nBwqTbNm/#/
UZrvUv8s;BRAZIL;SERIE A;2012;20.05.2012;Ponte Preta;Atletico-MG;0;0;0;1;[];[];2.9;3.25;2.4;1.8;0.5;https://www.flashscore.com/match/UZrvUv8s/#/
Y3c8Z0pK;BRAZIL;SERIE A;2012;20.05.2012;Internacional;Coritiba;2;0;2;0;[];[];1.7;3.5;5.25;2.04;0.5;https://www.flashscore.com/match/Y3c8Z0pK/#/
K0g4zsVD;BRAZIL;SERIE A;2012;20.05.2012;Corinthians;Fluminense;0;0;0;1;[];[];1.85;3.5;4.2;2.15;0.5;https://www.flashscore.com/match/K0g4zsVD/#/
pU1EDJN0;BRAZIL;SERIE A;2012;20.05.2012;Botafogo RJ;Sao Paulo;0;1;4;2;[];[];2.38;3.25;3.0;1.9;0.5;https://www.flashscore.com/match/pU1EDJN0/#/
v5GHCww7;BRAZIL;SERIE A;2012;20.05.2012;Vasco;Gremio;1;1;2;1;[];[];2.2;3.3;3.3;2.08;0.5;https://www.flashscore.com/match/v5GHCww7/#/
SQdCYKaQ;BRAZIL;SERIE A;2012;20.05.2012;Cruzeiro;Atletico GO;0;0;0;0;[];[];1.8;3.5;4.5;1.8;0.5;https://www.flashscore.com/match/SQdCYKaQ/#/
KOyiRxh0;BRAZIL;SERIE A;2012;20.05.2012;Bahia;Santos;0;0;0;0;[];[];2.29;3.4;3.0;2.1;0.5;https://www.flashscore.com/match/KOyiRxh0/#/
ELwOTVDb;BRAZIL;SERIE A;2012;26.05.2012;Portuguesa;Vasco;0;1;0;1;[];[];2.63;3.3;2.63;2.0;0.5;https://www.flashscore.com/match/ELwOTVDb/#/
WbueQd76;BRAZIL;SERIE A;2012;26.05.2012;Flamengo RJ;Internacional;2;1;3;3;[];[];2.1;3.3;3.5;2.15;0.5;https://www.flashscore.com/match/WbueQd76/#/
SpgTQTcH;BRAZIL;SERIE A;2012;26.05.2012;Atletico GO;Ponte Preta;1;0;1;1;[];[];1.62;3.8;5.5;1.8;0.5;https://www.flashscore.com/match/SpgTQTcH/#/
nZyWR9rB;BRAZIL;SERIE A;2012;26.05.2012;Nautico;Cruzeiro;0;0;0;0;[];[];2.9;3.3;2.4;2.1;0.5;https://www.flashscore.com/match/nZyWR9rB/#/
v3oBWXTu;BRAZIL;SERIE A;2012;27.05.2012;Sao Paulo;Bahia;0;0;1;0;[];[];1.44;4.2;7.5;1.67;0.5;https://www.flashscore.com/match/v3oBWXTu/#/
hET3OzxJ;BRAZIL;SERIE A;2012;27.05.2012;Santos;Sport Recife;0;0;0;0;[];[];1.4;4.5;8.0;1.73;0.5;https://www.flashscore.com/match/hET3OzxJ/#/
8rwSSkT4;BRAZIL;SERIE A;2012;27.05.2012;Coritiba;Botafogo RJ;1;2;2;3;[];[];1.73;3.75;4.5;1.73;0.5;https://www.flashscore.com/match/8rwSSkT4/#/
0IZJUBbh;BRAZIL;SERIE A;2012;27.05.2012;Atletico-MG;Corinthians;0;0;1;0;[];[];2.0;3.4;3.75;2.1;0.5;https://www.flashscore.com/match/0IZJUBbh/#/
IgpFViqn;BRAZIL;SERIE A;2012;27.05.2012;Gremio;Palmeiras;0;0;1;0;[];[];2.0;3.4;3.75;2.0;0.5;https://www.flashscore.com/match/IgpFViqn/#/
ENUaPGMC;BRAZIL;SERIE A;2012;27.05.2012;Fluminense;Figueirense;1;0;2;2;[];[];1.6;3.8;5.5;1.95;0.5;https://www.flashscore.com/match/ENUaPGMC/#/
6kX5vmSG;BRAZIL;SERIE A;2012;06.06.2012;Sport Recife;Palmeiras;1;1;2;1;[16, 72];[38];2.6;3.2;2.75;2.15;0.5;https://www.flashscore.com/match/6kX5vmSG/#/
0CW9w7sN;BRAZIL;SERIE A;2012;06.06.2012;Atletico GO;Gremio;0;0;0;1;[];[69];2.29;3.3;3.1;1.95;0.5;https://www.flashscore.com/match/0CW9w7sN/#/
0biyP7ST;BRAZIL;SERIE A;2012;06.06.2012;Vasco;Nautico;2;0;4;2;[23, 37, 63, 70];[67, 90];1.36;4.75;8.5;1.67;0.5;https://www.flashscore.com/match/0biyP7ST/#/
84E2uTCA;BRAZIL;SERIE A;2012;06.06.2012;Coritiba;Portuguesa;2;0;2;0;[19, 45];[];1.67;3.75;5.0;1.8;0.5;https://www.flashscore.com/match/84E2uTCA/#/
nkQgskrb;BRAZIL;SERIE A;2012;06.06.2012;Atletico-MG;Bahia;0;0;1;1;[53];[72];1.4;4.5;8.5;1.67;0.5;https://www.flashscore.com/match/nkQgskrb/#/
xKr3KRzo;BRAZIL;SERIE A;2012;06.06.2012;Santos;Fluminense;1;1;1;1;[5];[27];2.2;3.2;3.4;2.29;0.5;https://www.flashscore.com/match/xKr3KRzo/#/
QuPct9c4;BRAZIL;SERIE A;2012;06.06.2012;Ponte Preta;Flamengo RJ;1;1;2;2;[15, 52];[29, 90];2.5;3.3;2.8;2.0;0.5;https://www.flashscore.com/match/QuPct9c4/#/
IFLkrVSi;BRAZIL;SERIE A;2012;06.06.2012;Internacional;Sao Paulo;1;0;1;0;[21];[];1.8;3.5;4.5;1.95;0.5;https://www.flashscore.com/match/IFLkrVSi/#/
