id_jogo;nacao;campeonato;ano;dia;home;away;HTHG;HTAG;FTHG;FTAG;home_goal_timings;away_goal_timings;odd_home;odd_draw;odd_away;over25;btts;endereco
phbhGYqc;BRAZIL;SERIE A;2022;09.04.2022;Fluminense;Santos;0;0;0;0;[];[];1.75;3.4;5.25;2.5;2.25;https://www.flashscore.com/match/phbhGYqc/#/
YHWu7U6q;BRAZIL;SERIE A;2022;09.04.2022;Atletico GO;Flamengo RJ;0;0;1;1;[75];[85];3.75;3.4;2.05;2.1;1.9;https://www.flashscore.com/match/YHWu7U6q/#/
67n1ECE9;BRAZIL;SERIE A;2022;09.04.2022;Palmeiras;Ceara;1;2;2;3;[23, 90];[8, 14, 86];1.45;4.2;7.0;2.05;2.1;https://www.flashscore.com/match/67n1ECE9/#/
6VUm58yd;BRAZIL;SERIE A;2022;10.04.2022;Coritiba;Goias;1;0;3;0;[11, 47, 90];[];1.85;3.3;4.75;2.35;2.1;https://www.flashscore.com/match/6VUm58yd/#/
KAj5DWTF;BRAZIL;SERIE A;2022;10.04.2022;Botafogo RJ;Corinthians;0;3;1;3;[66];[17, 26, 44];2.6;3.0;3.0;2.5;2.05;https://www.flashscore.com/match/KAj5DWTF/#/
WzeBik7d;BRAZIL;SERIE A;2022;10.04.2022;Atletico-MG;Internacional;1;0;2;0;[10, 90];[];1.5;4.2;6.5;1.88;1.95;https://www.flashscore.com/match/WzeBik7d/#/
hOlDBAbS;BRAZIL;SERIE A;2022;10.04.2022;Fortaleza;Cuiaba;0;1;0;1;[];[8];1.9;3.2;4.5;2.6;2.25;https://www.flashscore.com/match/hOlDBAbS/#/
OrcdFha3;BRAZIL;SERIE A;2022;10.04.2022;Sao Paulo;Athletico-PR;1;0;4;0;[20, 51, 70, 74];[];1.6;3.8;5.75;2.1;2.1;https://www.flashscore.com/match/OrcdFha3/#/
C8Vq6lMk;BRAZIL;SERIE A;2022;10.04.2022;Avai;America MG;0;0;1;0;[52];[];3.0;2.87;2.7;2.87;2.25;https://www.flashscore.com/match/C8Vq6lMk/#/
EXk9CjqM;BRAZIL;SERIE A;2022;11.04.2022;Juventude;Bragantino;1;1;2;2;[30, 69];[12, 89];2.25;3.2;3.3;2.4;2.05;https://www.flashscore.com/match/EXk9CjqM/#/
KYfNJ7jk;BRAZIL;SERIE A;2022;16.04.2022;Goias;Palmeiras;0;0;1;1;[57];[90];6.0;3.75;1.61;2.1;2.1;https://www.flashscore.com/match/KYfNJ7jk/#/
SzGrRkbF;BRAZIL;SERIE A;2022;16.04.2022;Corinthians;Avai;2;0;3;0;[9, 26, 55];[];1.5;3.8;8.0;2.3;2.5;https://www.flashscore.com/match/SzGrRkbF/#/
I5Yi4Sj2;BRAZIL;SERIE A;2022;16.04.2022;America MG;Juventude;2;0;4;1;[19, 25, 65, 90];[84];2.05;3.1;4.2;2.87;2.37;https://www.flashscore.com/match/I5Yi4Sj2/#/
bPgRIR5e;BRAZIL;SERIE A;2022;16.04.2022;Cuiaba;Fluminense;0;0;0;1;[];[90];3.0;3.0;2.6;2.6;2.1;https://www.flashscore.com/match/bPgRIR5e/#/
6REnQ9DL;BRAZIL;SERIE A;2022;17.04.2022;Santos;Coritiba;2;1;2;1;[12, 32];[28];2.0;3.4;4.0;2.2;2.0;https://www.flashscore.com/match/6REnQ9DL/#/
KACzTBT2;BRAZIL;SERIE A;2022;17.04.2022;Flamengo RJ;Sao Paulo;1;1;3;1;[25, 69, 72];[41];1.72;3.8;4.5;2.02;1.9;https://www.flashscore.com/match/KACzTBT2/#/
lj4iPTSR;BRAZIL;SERIE A;2022;17.04.2022;Internacional;Fortaleza;1;1;2;1;[45, 90];[45];2.4;3.2;3.1;2.35;2.0;https://www.flashscore.com/match/lj4iPTSR/#/
b1BvSVr9;BRAZIL;SERIE A;2022;17.04.2022;Bragantino;Atletico GO;3;0;4;0;[19, 26, 30, 59];[];1.8;3.6;4.75;2.25;2.0;https://www.flashscore.com/match/b1BvSVr9/#/
vyBOHoL1;BRAZIL;SERIE A;2022;17.04.2022;Athletico-PR;Atletico-MG;0;0;0;1;[];[49];3.75;3.25;2.1;2.4;2.05;https://www.flashscore.com/match/vyBOHoL1/#/
QBeJKmyq;BRAZIL;SERIE A;2022;17.04.2022;Ceara;Botafogo RJ;1;1;1;3;[43];[18, 60, 80];1.72;3.8;5.0;2.15;2.1;https://www.flashscore.com/match/QBeJKmyq/#/
UwJkxyOD;BRAZIL;SERIE A;2022;20.04.2022;Flamengo RJ;Palmeiras;0;0;0;0;[];[];2.0;3.5;3.75;1.95;1.75;https://www.flashscore.com/match/UwJkxyOD/#/
pY1Ev9SE;BRAZIL;SERIE A;2022;23.04.2022;Bragantino;Sao Paulo;1;0;1;1;[2];[70];3.4;3.1;2.3;2.25;1.9;https://www.flashscore.com/match/pY1Ev9SE/#/
C2l5UO47;BRAZIL;SERIE A;2022;23.04.2022;Athletico-PR;Flamengo RJ;1;0;1;0;[32];[];3.6;3.3;2.05;2.05;1.8;https://www.flashscore.com/match/C2l5UO47/#/
SdiJwTsL;BRAZIL;SERIE A;2022;23.04.2022;Palmeiras;Corinthians;2;0;3;0;[15, 19, 71];[];1.9;3.4;4.5;2.25;2.05;https://www.flashscore.com/match/SdiJwTsL/#/
