id_jogo;nacao;campeonato;ano;dia;home;away;HTHG;HTAG;FTHG;FTAG;home_goal_timings;away_goal_timings;odd_home;odd_draw;odd_away;over25;btts;endereco
A7i8U25f;BRAZIL;SERIE A;2020;08.08.2020;Fortaleza;Athletico-PR;0;2;0;2;[];[22, 45];2.05;3.1;3.5;2.25;1.95;https://www.flashscore.com/match/A7i8U25f/#/
6LayZTRL;BRAZIL;SERIE A;2020;08.08.2020;Coritiba;Internacional;0;0;0;1;[];[73];4.0;3.1;2.05;2.5;2.05;https://www.flashscore.com/match/6LayZTRL/#/
OdAWZ9CF;BRAZIL;SERIE A;2020;08.08.2020;Sport Recife;Ceara;3;1;3;2;[20, 34, 42];[36, 57];2.9;3.0;2.55;2.7;2.1;https://www.flashscore.com/match/OdAWZ9CF/#/
Sr23Vrjl;BRAZIL;SERIE A;2020;09.08.2020;Santos;Bragantino;0;0;1;1;[65];[90];2.1;3.3;3.3;2.15;1.95;https://www.flashscore.com/match/Sr23Vrjl/#/
O0QXE8zj;BRAZIL;SERIE A;2020;09.08.2020;Flamengo RJ;Atletico-MG;0;1;0;1;[];[24];1.5;4.2;6.5;1.7;1.8;https://www.flashscore.com/match/O0QXE8zj/#/
p6BSzjc9;BRAZIL;SERIE A;2020;09.08.2020;Gremio;Fluminense;1;0;1;0;[45];[];1.57;3.6;5.5;2.35;2.2;https://www.flashscore.com/match/p6BSzjc9/#/
rHL7RoKe;BRAZIL;SERIE A;2020;12.08.2020;Bragantino;Botafogo RJ;1;0;1;1;[7];[65];1.65;3.6;5.5;2.1;2.1;https://www.flashscore.com/match/rHL7RoKe/#/
M7KBQ5Z1;BRAZIL;SERIE A;2020;12.08.2020;Atletico-MG;Corinthians;0;2;3;2;[53, 57, 62];[13, 30];1.9;3.4;4.0;2.3;2.05;https://www.flashscore.com/match/M7KBQ5Z1/#/
Wx22mTtF;BRAZIL;SERIE A;2020;12.08.2020;Athletico-PR;Goias;1;1;2;1;[32, 76];[45];1.25;5.8;11.5;1.7;2.25;https://www.flashscore.com/match/Wx22mTtF/#/
lECcl9R8;BRAZIL;SERIE A;2020;12.08.2020;Bahia;Coritiba;1;0;1;0;[40];[];2.05;3.2;3.8;2.7;2.25;https://www.flashscore.com/match/lECcl9R8/#/
xxUZUKQm;BRAZIL;SERIE A;2020;12.08.2020;Atletico GO;Flamengo RJ;2;0;3;0;[15, 32, 62];[];7.5;4.5;1.4;1.8;1.95;https://www.flashscore.com/match/xxUZUKQm/#/
KO3uYmsS;BRAZIL;SERIE A;2020;12.08.2020;Fluminense;Palmeiras;1;1;1;1;[40];[15];4.75;3.3;1.8;2.4;2.1;https://www.flashscore.com/match/KO3uYmsS/#/
82PVV0Bs;BRAZIL;SERIE A;2020;12.08.2020;Ceara;Gremio;1;0;1;1;[44];[71];2.55;3.1;2.87;2.5;2.1;https://www.flashscore.com/match/82PVV0Bs/#/
GfkBSR4k;BRAZIL;SERIE A;2020;13.08.2020;Sao Paulo;Fortaleza;1;0;1;0;[43];[];1.57;3.6;6.5;2.1;2.1;https://www.flashscore.com/match/GfkBSR4k/#/
zB8gkkC2;BRAZIL;SERIE A;2020;13.08.2020;Internacional;Santos;0;0;2;0;[57, 88];[];1.83;3.3;4.5;2.4;2.2;https://www.flashscore.com/match/zB8gkkC2/#/
x4j7T7kq;BRAZIL;SERIE A;2020;13.08.2020;Vasco;Sport Recife;2;0;2;0;[9, 32];[];2.1;3.0;4.0;2.6;2.1;https://www.flashscore.com/match/x4j7T7kq/#/
Kd3wktIJ;BRAZIL;SERIE A;2020;15.08.2020;Gremio;Corinthians;0;0;0;0;[];[];1.75;3.25;5.5;2.87;2.62;https://www.flashscore.com/match/Kd3wktIJ/#/
GSl9qKus;BRAZIL;SERIE A;2020;15.08.2020;Coritiba;Flamengo RJ;0;1;0;1;[];[28];5.25;3.5;1.61;2.0;1.9;https://www.flashscore.com/match/GSl9qKus/#/
ARLnSIA6;BRAZIL;SERIE A;2020;15.08.2020;Palmeiras;Goias;1;1;1;1;[18];[40];1.18;5.5;13.0;1.65;2.25;https://www.flashscore.com/match/ARLnSIA6/#/
