id_jogo;nacao;campeonato;ano;dia;home;away;HTHG;HTAG;FTHG;FTAG;home_goal_timings;away_goal_timings;odd_home;odd_draw;odd_away;over25;btts;endereco
pd4sJDvr;BRAZIL;SERIE A;2023;15.04.2023;Palmeiras;Cuiaba;1;1;2;1;[5, 65];[45];1.4;5.0;7.0;1.75;2.05;https://www.flashscore.com/match/pd4sJDvr/#/
I7BDL60t;BRAZIL;SERIE A;2023;15.04.2023;America MG;Fluminense;0;0;0;3;[];[52, 60, 72];2.5;3.25;2.88;2.08;1.8;https://www.flashscore.com/match/I7BDL60t/#/
trlpwZVD;BRAZIL;SERIE A;2023;15.04.2023;Fortaleza;Internacional;0;0;1;1;[57];[54];1.91;3.6;4.0;2.08;1.95;https://www.flashscore.com/match/trlpwZVD/#/
hM7kHi9f;BRAZIL;SERIE A;2023;15.04.2023;Bragantino;Bahia;0;1;2;1;[54, 70];[45];1.85;3.75;4.2;2.0;1.91;https://www.flashscore.com/match/hM7kHi9f/#/
vFRENgWQ;BRAZIL;SERIE A;2023;15.04.2023;Botafogo RJ;Sao Paulo;1;1;2;1;[4, 88];[17];2.38;3.2;3.1;2.35;2.0;https://www.flashscore.com/match/vFRENgWQ/#/
Sv02EkgD;BRAZIL;SERIE A;2023;15.04.2023;Athletico-PR;Goias;1;0;2;0;[36, 58];[];1.6;3.6;6.5;2.35;2.25;https://www.flashscore.com/match/Sv02EkgD/#/
WC6gGBO0;BRAZIL;SERIE A;2023;15.04.2023;Atletico-MG;Vasco;1;2;1;2;[45];[5, 11];1.8;3.5;4.75;2.05;1.95;https://www.flashscore.com/match/WC6gGBO0/#/
SvOAOZGK;BRAZIL;SERIE A;2023;16.04.2023;Flamengo RJ;Coritiba;1;0;3;0;[12, 56, 90];[];1.4;4.5;8.5;1.7;1.95;https://www.flashscore.com/match/SvOAOZGK/#/
On3oIXgl;BRAZIL;SERIE A;2023;16.04.2023;Corinthians;Cruzeiro;0;0;2;1;[69, 88];[90];1.75;3.4;5.25;2.35;2.1;https://www.flashscore.com/match/On3oIXgl/#/
EydbFVw7;BRAZIL;SERIE A;2023;16.04.2023;Gremio;Santos;1;0;1;0;[44];[];1.75;3.5;5.0;2.3;2.1;https://www.flashscore.com/match/EydbFVw7/#/
bJSAKQFn;BRAZIL;SERIE A;2023;22.04.2023;Fluminense;Athletico-PR;1;0;2;0;[11, 67];[];1.44;4.33;7.5;1.93;2.0;https://www.flashscore.com/match/bJSAKQFn/#/
WWQII4pa;BRAZIL;SERIE A;2023;22.04.2023;Sao Paulo;America MG;1;0;3;0;[21, 82, 90];[];1.91;3.5;4.5;2.1;1.95;https://www.flashscore.com/match/WWQII4pa/#/
xO6mYqpn;BRAZIL;SERIE A;2023;22.04.2023;Cuiaba;Bragantino;0;0;1;1;[67];[85];2.5;3.1;3.0;2.25;1.95;https://www.flashscore.com/match/xO6mYqpn/#/
6kJVF2UH;BRAZIL;SERIE A;2023;22.04.2023;Cruzeiro;Gremio;0;0;1;0;[64];[];2.38;3.2;3.2;2.25;1.95;https://www.flashscore.com/match/6kJVF2UH/#/
zPNZEMqO;BRAZIL;SERIE A;2023;23.04.2023;Internacional;Flamengo RJ;0;0;2;1;[67, 90];[63];2.7;3.2;2.7;2.1;1.8;https://www.flashscore.com/match/zPNZEMqO/#/
xAREJpVh;BRAZIL;SERIE A;2023;23.04.2023;Vasco;Palmeiras;2;1;2;2;[29, 40];[45, 63];3.4;3.1;2.3;2.2;1.8;https://www.flashscore.com/match/xAREJpVh/#/
pzVMHOa5;BRAZIL;SERIE A;2023;23.04.2023;Santos;Atletico-MG;0;0;0;0;[];[];3.2;3.2;2.38;2.5;2.1;https://www.flashscore.com/match/pzVMHOa5/#/
EFMwEtaU;BRAZIL;SERIE A;2023;23.04.2023;Coritiba;Fortaleza;0;0;0;3;[];[52, 83, 90];2.6;3.2;2.88;2.2;1.91;https://www.flashscore.com/match/EFMwEtaU/#/
SbKRGrFB;BRAZIL;SERIE A;2023;23.04.2023;Goias;Corinthians;1;1;3;1;[31, 81, 90];[17];3.1;3.0;2.55;2.7;2.1;https://www.flashscore.com/match/SbKRGrFB/#/
vwlpZPUu;BRAZIL;SERIE A;2023;24.04.2023;Bahia;Botafogo RJ;1;1;1;2;[42];[29, 78];2.05;3.3;3.8;2.1;1.95;https://www.flashscore.com/match/vwlpZPUu/#/
Q7RQo3Eo;BRAZIL;SERIE A;2023;29.04.2023;Fortaleza;Fluminense;2;1;4;2;[29, 35, 60, 79];[45, 69];2.05;3.3;3.8;2.05;1.8;https://www.flashscore.com/match/Q7RQo3Eo/#/
b1wqNJyo;BRAZIL;SERIE A;2023;29.04.2023;Coritiba;Sao Paulo;1;0;1;1;[13];[81];2.9;3.2;2.55;2.3;1.95;https://www.flashscore.com/match/b1wqNJyo/#/
63b4U1qB;BRAZIL;SERIE A;2023;29.04.2023;Santos;America MG;2;1;3;2;[19, 40, 69];[7, 49];2.4;3.1;3.2;2.2;1.95;https://www.flashscore.com/match/63b4U1qB/#/
