id_jogo;nacao;campeonato;ano;dia;home;away;HTHG;HTAG;FTHG;FTAG;home_goal_timings;away_goal_timings;odd_home;odd_draw;odd_away;over25;btts;endereco
I946lg6F;BRAZIL;SERIE A;2018;14.04.2018;Cruzeiro;Gremio;0;0;0;1;[];[55];1.9;3.25;4.5;2.5;2.2;https://www.flashscore.com/match/I946lg6F/#/
O67EnXzS;BRAZIL;SERIE A;2018;14.04.2018;Vitoria;Flamengo RJ;1;1;2;2;[13, 76];[1, 72];3.39;3.25;2.14;2.04;1.75;https://www.flashscore.com/match/O67EnXzS/#/
8vqosBbk;BRAZIL;SERIE A;2018;14.04.2018;Santos;Ceara;1;0;2;0;[42, 50];[];1.53;3.75;7.0;2.04;1.95;https://www.flashscore.com/match/8vqosBbk/#/
CW3AmDLL;BRAZIL;SERIE A;2018;15.04.2018;America MG;Sport Recife;3;0;3;0;[1, 37, 41];[];1.9;3.39;4.0;2.25;2.0;https://www.flashscore.com/match/CW3AmDLL/#/
Umpsriqq;BRAZIL;SERIE A;2018;15.04.2018;Vasco;Atletico-MG;0;1;2;1;[87, 90];[13];2.87;3.1;2.54;2.1;1.8;https://www.flashscore.com/match/Umpsriqq/#/
G4ngukT1;BRAZIL;SERIE A;2018;15.04.2018;Internacional;Bahia;1;0;2;0;[38, 61];[];1.72;3.5;5.0;2.14;2.0;https://www.flashscore.com/match/G4ngukT1/#/
xEmktVDe;BRAZIL;SERIE A;2018;15.04.2018;Corinthians;Fluminense;1;0;2;1;[45, 86];[48];1.57;3.6;7.0;2.39;2.25;https://www.flashscore.com/match/xEmktVDe/#/
tEdHEbw4;BRAZIL;SERIE A;2018;15.04.2018;Athletico-PR;Chapecoense-SC;0;0;5;1;[52, 59, 68, 88, 90];[48];2.1;3.25;3.6;2.35;2.0;https://www.flashscore.com/match/tEdHEbw4/#/
ERfPCx8G;BRAZIL;SERIE A;2018;16.04.2018;Sao Paulo;Parana;1;0;1;0;[37];[];1.39;4.2;8.5;2.07;2.37;https://www.flashscore.com/match/ERfPCx8G/#/
K4eLDIhA;BRAZIL;SERIE A;2018;16.04.2018;Botafogo RJ;Palmeiras;0;0;1;1;[82];[54];3.5;3.29;2.1;2.25;1.95;https://www.flashscore.com/match/K4eLDIhA/#/
4QSm1WkL;BRAZIL;SERIE A;2018;21.04.2018;Bahia;Santos;0;0;1;0;[90];[];2.2;3.0;3.6;2.29;1.95;https://www.flashscore.com/match/4QSm1WkL/#/
